,name,id,created_date,updated_date,subject_type_name,subject_type_id
0,Smartbrick 141419,e39d89a4-d67e-4519-b654-a45618ddca16,2021-07-21 13:27:29.245000+00:00,2021-10-12 10:06:17.565000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
1,Smartbrick 141421,325bcd9a-7797-48b7-a269-259fbb0706db,2021-07-19 06:43:32.615000+00:00,2021-07-19 06:45:33.055000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
2,Smartbrick 141422,372f2b53-2980-4908-9f85-64fd3b7d6a1a,2021-07-19 07:19:15.196000+00:00,2021-10-12 10:08:18.349000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
3,Smartbrick 141423,d6687ca1-ac13-43a5-b691-082f99cd5eef,2021-07-19 07:19:39.768000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
4,Smartbrick 141424,b3c63842-e646-4b1a-a6b4-229107f86c2e,2021-07-19 07:19:47.833000+00:00,2021-10-12 10:09:49.152000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
5,Smartbrick 141425,4413e100-ec3e-478e-803f-648b180372c9,2021-07-19 07:19:55.093000+00:00,2021-10-12 10:09:07.072000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
6,Smartbrick 141427,5afb1d26-e6a3-4b0d-87dc-47023887ecb8,2021-07-19 07:20:07.177000+00:00,2021-10-12 10:13:53.400000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
7,Smartbrick 141428,1ab3f770-a9d6-4004-be4e-348d731bdc79,2021-07-19 07:20:16.278000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
8,Smartbrick 141429,3a9de24d-e225-4abc-9e21-4136f42e7af9,2021-07-19 07:20:24.341000+00:00,2021-10-12 10:11:33.371000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
9,Smartbrick 141430,665d9f33-fc35-4d79-b4a2-53f50fb36e1c,2021-07-19 07:20:44.508000+00:00,2021-07-19 07:20:51.453000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
10,Smartbrick 141431,1597673d-0d3f-48f1-bf68-20bf8cb02b20,2021-07-19 07:21:00.659000+00:00,2021-10-12 10:12:59.989000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
11,Smartbrick 141432,23261a3b-dc49-4020-a3d7-08b4f6f7f801,2021-07-19 07:21:09.879000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
12,Smartbrick 141433,77935084-2b28-4f5b-a010-9ac314771f0f,2021-07-19 07:21:19.297000+00:00,2021-10-12 10:12:22.266000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
13,Smartbrick 141434,90744e58-78e9-4b6e-960a-5e71e9f3832b,2021-07-19 07:21:24.889000+00:00,2021-07-19 07:21:32.758000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
14,Smartbrick 141435,1d08cc0c-d679-4854-9424-af6a6129d1f8,2021-07-19 07:21:41.250000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
15,Smartbrick 141436,35992d1e-6986-4027-9ccd-c3c809e33ef7,2022-02-16 08:10:10.128000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
16,Smartbrick 141437,6e64206d-a52d-448c-869b-4a278a342a37,2021-07-19 07:21:56.007000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
17,Smartbrick 141438,49941d98-9242-4fc4-9857-1691e8aad43e,2021-07-19 07:22:03.476000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
18,Smartbrick 141439,8b8c89c5-94f7-44eb-8e05-bec4f8336324,2021-07-19 07:22:10.520000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
19,Smartbrick 141441,a22dc198-3e44-4e57-b8d8-a5aeb7b6e2d6,2021-07-19 07:22:26.795000+00:00,2021-07-19 07:22:35.822000+00:00,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
20,Smartbrick 141442,5a32e5d3-64e9-4a20-94ba-b4a7a561797c,2021-07-19 07:22:46.347000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
21,Smartbrick 147352,d9d9bf4d-d265-4eb0-a543-dfb79991f8a2,2021-11-29 12:32:43.166000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
22,Smartbrick 147353,e6d6f700-ec02-4054-a41d-5b49e636c6cc,2021-11-29 12:32:53.649000+00:00,,Smartbrick Interay,febad401-b947-423a-aaa1-1889db33b9da
