"Series","Date","Value"
"Y for Smartbrick 148088","2022-05-08 10:00:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:05:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:10:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:15:53","-0.98266602"
"Y for Smartbrick 148088","2022-05-08 10:20:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:25:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:30:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:35:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:40:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:45:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:50:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 10:55:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:00:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:05:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:10:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:15:52","-0.99487305"
"Y for Smartbrick 148088","2022-05-08 11:20:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:25:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:30:53","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:35:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:40:52","-0.98876953"
"Y for Smartbrick 148088","2022-05-08 11:45:53","-2.81982422"
"Y for Smartbrick 148088","2022-05-08 11:50:53","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 11:55:52","-2.81982422"
"Y for Smartbrick 148088","2022-05-08 12:00:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:05:52","-2.81982422"
"Y for Smartbrick 148088","2022-05-08 12:10:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 12:15:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:20:52","-2.81982422"
"Y for Smartbrick 148088","2022-05-08 12:25:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:30:52","-2.81982422"
"Y for Smartbrick 148088","2022-05-08 12:35:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:40:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:45:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:50:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 12:55:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:00:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 13:05:52","-2.82592773"
"Y for Smartbrick 148088","2022-05-08 13:10:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:15:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:20:53","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:25:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:30:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:35:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:40:52","-2.83203125"
"Y for Smartbrick 148088","2022-05-08 13:45:53","-4.73022461"
"Y for Smartbrick 148088","2022-05-08 13:50:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 13:55:52","-4.73022461"
"Y for Smartbrick 148088","2022-05-08 14:00:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:05:52","-4.73022461"
"Y for Smartbrick 148088","2022-05-08 14:10:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:15:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:20:52","-4.73022461"
"Y for Smartbrick 148088","2022-05-08 14:25:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:30:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:35:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:40:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 14:45:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:50:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 14:55:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 15:00:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 15:05:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:10:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:15:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:20:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:25:52","-4.73632812"
"Y for Smartbrick 148088","2022-05-08 15:30:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:35:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:40:52","-4.74243164"
"Y for Smartbrick 148088","2022-05-08 15:45:53","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 15:50:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 15:55:53","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:00:52","-7.75146484"
"Y for Smartbrick 148088","2022-05-08 16:05:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 16:10:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 16:15:54","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 16:20:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 16:25:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:30:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:35:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:40:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 16:45:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:50:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 16:55:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:00:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 17:05:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:10:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:15:52","-7.75756836"
"Y for Smartbrick 148088","2022-05-08 17:20:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:25:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:30:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:35:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:40:52","-7.76367188"
"Y for Smartbrick 148088","2022-05-08 17:45:52","-12.95776367"
"Y for Smartbrick 148088","2022-05-08 17:50:52","-12.96386719"
"Y for Smartbrick 148088","2022-05-08 17:55:52","-12.96386719"
"Y for Smartbrick 148088","2022-05-08 18:00:52","-12.96386719"
"Y for Smartbrick 148088","2022-05-08 18:05:52","-12.96386719"
"Y for Smartbrick 148088","2022-05-08 18:10:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:15:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:20:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:25:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:30:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:35:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:40:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:45:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 18:50:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 18:55:52","-12.95776367"
"Y for Smartbrick 148088","2022-05-08 19:00:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 19:05:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 19:10:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 19:15:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 19:20:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 19:25:52","-12.9699707"
"Y for Smartbrick 148088","2022-05-08 19:30:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 19:35:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 19:40:52","-12.97607422"
"Y for Smartbrick 148088","2022-05-08 19:45:52","-3.16162109"
"Y for Smartbrick 148088","2022-05-08 19:50:52","-3.15551758"
"Y for Smartbrick 148088","2022-05-08 19:55:52","-3.14941406"
"Y for Smartbrick 148088","2022-05-08 20:00:52","-3.14331055"
"Y for Smartbrick 148088","2022-05-08 20:05:52","-3.14331055"
"Y for Smartbrick 148088","2022-05-08 20:10:52","-3.14331055"
"Y for Smartbrick 148088","2022-05-08 20:15:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:20:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:25:53","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:30:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:35:52","-3.14331055"
"Y for Smartbrick 148088","2022-05-08 20:40:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:45:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:50:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 20:55:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:00:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:05:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:10:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:15:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:20:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:25:52","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:30:52","-3.13110352"
"Y for Smartbrick 148088","2022-05-08 21:35:52","-3.14331055"
"Y for Smartbrick 148088","2022-05-08 21:40:51","-3.13720703"
"Y for Smartbrick 148088","2022-05-08 21:45:52","6.28051758"
"Y for Smartbrick 148088","2022-05-08 21:50:52","6.28051758"
"Y for Smartbrick 148088","2022-05-08 21:55:52","6.28051758"
"Y for Smartbrick 148088","2022-05-08 22:00:52","6.28051758"
"Y for Smartbrick 148088","2022-05-08 22:05:52","6.28662109"
"Y for Smartbrick 148088","2022-05-08 22:10:52","6.29272461"
"Y for Smartbrick 148088","2022-05-08 22:15:52","6.28662109"
"Y for Smartbrick 148088","2022-05-08 22:20:52","6.28662109"
"Y for Smartbrick 148088","2022-05-08 22:25:52","6.28662109"
"Y for Smartbrick 148088","2022-05-08 22:30:52","6.28662109"
"Y for Smartbrick 148088","2022-05-08 22:35:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 22:40:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 22:45:52","6.29272461"
"Y for Smartbrick 148088","2022-05-08 22:50:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 22:55:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:00:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:05:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:10:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:15:52","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:20:52","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:25:52","6.29882812"
"Y for Smartbrick 148088","2022-05-08 23:30:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:35:51","6.29882812"
"Y for Smartbrick 148088","2022-05-08 23:40:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:45:51","6.29272461"
"Y for Smartbrick 148088","2022-05-08 23:50:51","6.29882812"
"Y for Smartbrick 148088","2022-05-08 23:55:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:00:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:05:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:10:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:15:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:20:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:25:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:30:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:35:51","6.29272461"
"Y for Smartbrick 148088","2022-05-09 00:40:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:45:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:50:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 00:55:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:00:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:05:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:10:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:15:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:20:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:25:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:30:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:35:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 01:40:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:45:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:50:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 01:55:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:00:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:05:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 02:10:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 02:15:51","6.29882812"
"Y for Smartbrick 148088","2022-05-09 02:20:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:25:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:30:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:35:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:40:51","6.30493164"
"Y for Smartbrick 148088","2022-05-09 02:45:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 02:50:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 02:55:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 03:00:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:05:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 03:10:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:15:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:20:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 03:25:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:30:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:35:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:40:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:45:51","1.89208984"
"Y for Smartbrick 148088","2022-05-09 03:50:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 03:55:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:00:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:05:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:10:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:15:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:20:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:25:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:30:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:35:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:40:51","1.88598633"
"Y for Smartbrick 148088","2022-05-09 04:45:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 04:50:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 04:55:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:00:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:05:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 05:10:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:15:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:20:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:25:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:30:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:35:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:40:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:45:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:50:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 05:55:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 06:00:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 06:05:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:10:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:15:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:20:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:25:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:30:51","-0.98876953"
"Y for Smartbrick 148088","2022-05-09 06:35:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:40:51","-0.99487305"
"Y for Smartbrick 148088","2022-05-09 06:45:51","-2.81982422"
"Y for Smartbrick 148088","2022-05-09 06:50:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 06:55:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:00:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 07:05:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:10:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 07:15:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:20:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 07:25:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:30:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:35:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:40:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:45:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 07:50:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 07:55:51","-2.82592773"
"Y for Smartbrick 148088","2022-05-09 08:00:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:05:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:10:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:15:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:20:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:25:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:30:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:35:51","-2.83203125"
"Y for Smartbrick 148088","2022-05-09 08:40:51","-2.83203125"
