"Series","Date","Value"
"X for Smartbrick 148091","2022-05-08 10:00:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 10:05:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:10:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 10:15:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 10:20:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:25:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:30:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:35:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:40:03","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:45:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:50:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 10:55:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:00:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:05:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:10:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:15:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 11:20:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 11:25:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 11:30:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:35:02","4.30908203"
"X for Smartbrick 148091","2022-05-08 11:40:02","4.30297852"
"X for Smartbrick 148091","2022-05-08 11:45:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 11:50:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 11:55:02","4.24804688"
"X for Smartbrick 148091","2022-05-08 12:00:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:05:02","4.24804688"
"X for Smartbrick 148091","2022-05-08 12:10:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:15:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:20:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:25:01","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:30:01","4.23583984"
"X for Smartbrick 148091","2022-05-08 12:35:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:40:01","4.24804688"
"X for Smartbrick 148091","2022-05-08 12:45:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 12:50:01","4.24804688"
"X for Smartbrick 148091","2022-05-08 12:55:02","4.24804688"
"X for Smartbrick 148091","2022-05-08 13:00:01","4.24194336"
"X for Smartbrick 148091","2022-05-08 13:05:01","4.24804688"
"X for Smartbrick 148091","2022-05-08 13:10:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 13:15:02","4.24804688"
"X for Smartbrick 148091","2022-05-08 13:20:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 13:25:01","4.24804688"
"X for Smartbrick 148091","2022-05-08 13:30:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 13:35:02","4.24194336"
"X for Smartbrick 148091","2022-05-08 13:40:02","4.24804688"
