datetime,angle,temp
2022-05-31 15:37:38,-1.0273,+10.1483,+18.529
2022-05-31 15:42:39,-0.6134,-0.6528,+19.177
2022-05-31 15:47:40,-0.6152,-0.6518,+19.387
2022-05-31 15:52:41,-0.6190,-0.6563,+19.392
2022-05-31 15:57:42,-0.6187,-0.6565,+19.417
2022-05-31 16:02:43,-0.6216,-0.6567,+19.423
2022-05-31 16:07:44,-0.6246,-0.6576,+19.423
2022-05-31 16:12:45,-0.6230,-0.6563,+19.409
2022-05-31 16:17:46,-0.6247,-0.6590,+19.485
2022-05-31 16:22:47,-0.6272,-0.6583,+19.419
2022-05-31 16:27:48,-0.6282,-0.6596,+19.380
2022-05-31 16:32:49,-0.6275,-0.6598,+19.377
2022-05-31 16:37:50,-0.6286,-0.6609,+19.360
2022-05-31 16:42:51,-0.6291,-0.6592,+19.377
2022-05-31 16:47:52,-0.6297,-0.6610,+19.389
2022-05-31 16:52:53,-0.6302,-0.6598,+19.355
2022-05-31 16:57:54,-0.6287,-0.6607,+19.341
2022-05-31 17:02:55,-0.6313,-0.6621,+19.360
2022-05-31 17:07:56,-0.6320,-0.6612,+19.353
2022-05-31 17:12:57,-0.6314,-0.6625,+19.318
2022-05-31 17:17:59,-0.6314,-0.6616,+19.343
2022-05-31 17:23:00,-0.6307,-0.6632,+19.331
2022-05-31 17:28:01,-0.6298,-0.6616,+19.302
2022-05-31 17:33:02,-0.6332,-0.6625,+19.318
2022-05-31 17:38:03,-0.6312,-0.6618,+19.323
2022-05-31 17:43:04,-0.6332,-0.6627,+19.333
2022-05-31 17:48:05,-0.6329,-0.6627,+19.367
2022-05-31 17:53:06,-0.6325,-0.6627,+19.328
2022-05-31 17:58:07,-0.6317,-0.6643,+19.407
2022-05-31 18:03:08,-0.6331,-0.6630,+19.368
2022-05-31 18:08:09,-0.6332,-0.6630,+19.331
2022-05-31 18:13:10,-0.6341,-0.6643,+19.324
2022-05-31 18:18:11,-0.6338,-0.6641,+19.329
2022-05-31 18:23:12,-0.6356,-0.6652,+19.329
2022-05-31 18:28:13,-0.6343,-0.6634,+19.348
2022-05-31 18:33:14,-0.6346,-0.6645,+19.414
2022-05-31 18:38:15,-0.6358,-0.6645,+19.404
2022-05-31 18:43:16,-0.6367,-0.6648,+19.343
2022-05-31 18:48:18,-0.6356,-0.6663,+19.355
2022-05-31 18:53:19,-0.6356,-0.6659,+19.326
2022-05-31 18:58:20,-0.6361,-0.6654,+19.348
2022-05-31 19:03:21,-0.6349,-0.6659,+19.353
2022-05-31 19:08:22,-0.6363,-0.6659,+19.372
2022-05-31 19:13:23,-0.6352,-0.6652,+19.350
2022-05-31 19:18:24,-0.6340,-0.6659,+19.373
2022-05-31 19:23:25,-0.6358,-0.6663,+19.372
2022-05-31 19:28:26,-0.6363,-0.6641,+19.345
2022-05-31 19:33:27,-0.6356,-0.6661,+19.360
2022-05-31 19:38:28,-0.6351,-0.6670,+19.367
2022-05-31 19:43:29,+8.6250,-0.6092,+19.358
2022-05-31 19:48:30,+8.6252,-0.6074,+19.380
2022-05-31 19:53:31,+8.6289,-0.6070,+19.390
2022-05-31 19:58:32,+8.6293,-0.6074,+19.416
2022-05-31 20:03:33,+8.6300,-0.6056,+19.406
2022-05-31 20:08:34,+8.6312,-0.6072,+19.419
2022-05-31 20:13:35,+8.6325,-0.6043,+19.385
2022-05-31 20:18:36,+8.6336,-0.6065,+19.421
2022-05-31 20:23:37,+8.6334,-0.6056,+19.395
2022-05-31 20:28:38,+8.6332,-0.6063,+19.416
2022-05-31 20:33:39,+8.6341,-0.6063,+19.448
2022-05-31 20:38:41,+8.6346,-0.6079,+19.417
2022-05-31 20:43:42,+8.6348,-0.6047,+19.441
2022-05-31 20:48:43,+8.6359,-0.6056,+19.428
2022-05-31 20:53:44,+8.6346,-0.6061,+19.529
2022-05-31 20:58:45,+8.6350,-0.6058,+19.446
2022-05-31 21:03:46,+8.6350,-0.6038,+19.461
2022-05-31 21:08:47,+8.6350,-0.6047,+19.426
2022-05-31 21:13:48,+8.6348,-0.6072,+19.463
2022-05-31 21:18:49,+8.6368,-0.6054,+19.451
2022-05-31 21:23:50,+8.6364,-0.6074,+19.465
2022-05-31 21:28:51,+8.6371,-0.6061,+19.461
2022-05-31 21:33:52,+8.6362,-0.6041,+19.483
2022-05-31 21:38:53,+8.6371,-0.6045,+19.480
2022-05-31 21:43:54,+8.6376,-0.6054,+19.492
2022-05-31 21:48:55,+8.6376,-0.6043,+19.490
2022-05-31 21:53:56,+8.6378,-0.6054,+19.473
2022-05-31 21:58:57,+8.6378,-0.6050,+19.473
2022-05-31 22:03:58,+8.6378,-0.6032,+19.504
2022-05-31 22:08:59,+8.6387,-0.6052,+19.470
2022-05-31 22:14:00,+8.6376,-0.6063,+19.534
2022-05-31 22:19:02,+8.6383,-0.6056,+19.522
2022-05-31 22:24:03,+8.6384,-0.6045,+19.468
2022-05-31 22:29:04,+8.6376,-0.6041,+19.497
2022-05-31 22:34:05,+8.6373,-0.6063,+19.477
2022-05-31 22:39:06,+8.6364,-0.6043,+19.472
2022-05-31 22:44:07,+8.6376,-0.6036,+19.494
2022-05-31 22:49:08,+8.6373,-0.6050,+19.480
2022-05-31 22:54:09,+8.6380,-0.6047,+19.490
2022-05-31 22:59:10,+8.6394,-0.6038,+19.505
2022-05-31 23:04:11,+8.6371,-0.6065,+19.500
2022-05-31 23:09:12,+8.6373,-0.6059,+19.517
2022-05-31 23:14:13,+8.6389,-0.6063,+19.509
2022-05-31 23:19:14,+8.6387,-0.6059,+19.563
2022-05-31 23:24:15,+8.6396,-0.6070,+19.475
2022-05-31 23:29:16,+8.6383,-0.6032,+19.576
2022-05-31 23:34:17,+8.6390,-0.6034,+19.583
2022-05-31 23:39:18,+8.6374,-0.6043,+19.595
2022-05-31 23:44:19,+8.6367,+4.2848,+19.595
2022-05-31 23:49:20,+8.6340,+4.2855,+19.563
2022-05-31 23:54:22,+8.6342,+4.2859,+19.588
2022-05-31 23:59:23,+8.6362,+4.2886,+19.510
2022-06-01 00:04:24,+8.6344,+4.2882,+19.507
2022-06-01 00:09:25,+8.6351,+4.2877,+19.531
2022-06-01 00:14:26,+8.6344,+4.2889,+19.514
2022-06-01 00:19:27,+8.6348,+4.2902,+19.478
2022-06-01 00:24:28,+8.6344,+4.2886,+19.500
2022-06-01 00:29:29,+8.6350,+4.2895,+19.477
2022-06-01 00:34:30,+8.6355,+4.2900,+19.504
2022-06-01 00:39:31,+8.6334,+4.2893,+19.458
2022-06-01 00:44:32,+8.6364,+4.2904,+19.497
2022-06-01 00:49:33,+8.6346,+4.2898,+19.497
2022-06-01 00:54:34,+8.6353,+4.2897,+19.538
2022-06-01 00:59:35,+8.6355,+4.2889,+19.492
2022-06-01 01:04:36,+8.6351,+4.2898,+19.502
2022-06-01 01:09:37,+8.6346,+4.2909,+19.502
2022-06-01 01:14:38,+8.6355,+4.2904,+19.505
2022-06-01 01:19:39,+8.6366,+4.2907,+19.492
2022-06-01 01:24:40,+8.6358,+4.2904,+19.519
2022-06-01 01:29:42,+8.6364,+4.2900,+19.516
2022-06-01 01:34:43,+8.6369,+4.2916,+19.487
2022-06-01 01:39:44,+8.6357,+4.2909,+19.490
2022-06-01 01:44:45,+8.6364,+4.2913,+19.494
2022-06-01 01:49:46,+8.6353,+4.2920,+19.516
2022-06-01 01:54:47,+8.6366,+4.2904,+19.473
2022-06-01 01:59:48,+8.6364,+4.2920,+19.443
2022-06-01 02:04:49,+8.6360,+4.2918,+19.494
2022-06-01 02:09:50,+8.6364,+4.2911,+19.487
2022-06-01 02:14:51,+8.6371,+4.2918,+19.472
2022-06-01 02:19:52,+8.6366,+4.2923,+19.448
2022-06-01 02:24:53,+8.6369,+4.2902,+19.478
2022-06-01 02:29:54,+8.6362,+4.2911,+19.475
2022-06-01 02:34:55,+8.6373,+4.2916,+19.478
2022-06-01 02:39:56,+8.6376,+4.2933,+19.534
2022-06-01 02:44:57,+8.6371,+4.2925,+19.472
2022-06-01 02:49:58,+8.6373,+4.2907,+19.453
2022-06-01 02:54:59,+8.6380,+4.2922,+19.468
2022-06-01 03:00:00,+8.6359,+4.2920,+19.455
2022-06-01 03:05:01,+8.6364,+4.2925,+19.468
2022-06-01 03:10:03,+8.6359,+4.2918,+19.441
2022-06-01 03:15:04,+8.6364,+4.2929,+19.473
2022-06-01 03:20:05,+8.6362,+4.2914,+19.448
2022-06-01 03:25:06,+8.6357,+4.2934,+19.443
2022-06-01 03:30:07,+8.6368,+4.2932,+19.450
2022-06-01 03:35:08,+8.6371,+4.2918,+19.436
2022-06-01 03:40:09,+8.7208,+1.3201,+19.477
2022-06-01 03:45:10,+8.7223,+1.3145,+19.419
2022-06-01 03:50:11,+8.7253,+1.3132,+19.514
2022-06-01 03:55:12,+8.7244,+1.3150,+19.499
2022-06-01 04:00:13,+8.7267,+1.3143,+19.482
2022-06-01 04:05:14,+8.7262,+1.3138,+19.504
2022-06-01 04:10:15,+8.7257,+1.3136,+19.439
2022-06-01 04:15:16,+8.7282,+1.3130,+19.402
2022-06-01 04:20:17,+8.7271,+1.3143,+19.424
2022-06-01 04:25:18,+8.7257,+1.3130,+19.411
2022-06-01 04:30:19,+8.7269,+1.3123,+19.417
2022-06-01 04:35:20,+8.7264,+1.3125,+19.407
2022-06-01 04:40:21,+8.7271,+1.3156,+19.411
2022-06-01 04:45:22,+8.7284,+1.3136,+19.412
2022-06-01 04:50:24,+8.7282,+1.3134,+19.421
2022-06-01 04:55:25,+8.7280,+1.3136,+19.421
2022-06-01 05:00:26,+8.7286,+1.3134,+19.384
2022-06-01 05:05:27,+8.7273,+1.3125,+19.377
2022-06-01 05:10:28,+8.7271,+1.3134,+19.401
2022-06-01 05:15:29,+8.7275,+1.3121,+19.377
2022-06-01 05:20:30,+8.7280,+1.3130,+19.402
2022-06-01 05:25:31,+8.7261,+1.3116,+19.380
2022-06-01 05:30:32,+8.7271,+1.3145,+19.395
2022-06-01 05:35:33,+8.7275,+1.3134,+19.394
2022-06-01 05:40:34,+8.7278,+1.3130,+19.406
2022-06-01 05:45:35,+8.7284,+1.3145,+19.362
2022-06-01 05:50:36,+8.7277,+1.3125,+19.362
2022-06-01 05:55:37,+8.7286,+1.3139,+19.367
2022-06-01 06:00:38,+8.7284,+1.3121,+19.404
2022-06-01 06:05:39,+8.7280,+1.3136,+19.443
2022-06-01 06:10:40,+8.7294,+1.3147,+19.441
2022-06-01 06:15:41,+8.7266,+1.3109,+19.433
2022-06-01 06:20:42,+8.7280,+1.3136,+19.377
2022-06-01 06:25:43,+8.7282,+1.3121,+19.351
2022-06-01 06:30:45,+8.7275,+1.3136,+19.438
2022-06-01 06:35:46,+8.7287,+1.3127,+19.424
2022-06-01 06:40:47,+8.7278,+1.3132,+19.431
2022-06-01 06:45:48,+8.7289,+1.3139,+19.399
2022-06-01 06:50:49,+8.7282,+1.3127,+19.399
2022-06-01 06:55:50,+8.7266,+1.3123,+19.384
2022-06-01 07:00:51,+8.7289,+1.3143,+19.411
2022-06-01 07:05:52,+8.7287,+1.3127,+19.436
2022-06-01 07:10:53,+8.7287,+1.3143,+19.395
2022-06-01 07:15:54,+8.7280,+1.3161,+19.473
2022-06-01 07:20:55,+8.7280,+1.3147,+19.451
2022-06-01 07:25:56,+8.7289,+1.3125,+19.414
2022-06-01 07:30:57,+8.7278,+1.3141,+19.411
2022-06-01 07:35:58,+8.7282,+1.3112,+19.417
2022-06-01 07:40:59,+8.7633,-0.6338,+19.389
2022-06-01 07:46:00,+8.7633,-0.6365,+19.384
2022-06-01 07:51:01,+8.7628,-0.6352,+19.304
2022-06-01 07:56:02,+8.7608,-0.6381,+19.331
2022-06-01 08:01:03,+8.7624,-0.6374,+19.309
2022-06-01 08:06:04,+8.7628,-0.6376,+19.311
2022-06-01 08:11:06,+8.7669,-0.6381,+19.289
2022-06-01 08:16:07,+8.7658,-0.6381,+19.272
2022-06-01 08:21:08,+8.7660,-0.6374,+19.243
2022-06-01 08:26:09,+8.7676,-0.6397,+19.319
2022-06-01 08:31:10,+8.7669,-0.6376,+19.238
2022-06-01 08:36:11,+8.7655,-0.6385,+19.236
2022-06-01 08:41:12,+8.7885,-0.6428,+19.314
2022-06-01 08:46:13,+8.7878,-0.6428,+19.318
2022-06-01 08:51:14,+8.7875,-0.6432,+19.264
2022-06-01 08:56:15,+8.7882,-0.6432,+19.226
2022-06-01 09:01:16,+8.7880,-0.6446,+19.245
2022-06-01 09:06:17,+8.7866,-0.6437,+19.250
2022-06-01 09:11:18,+8.7873,-0.6443,+19.270
2022-06-01 09:16:19,+8.7864,-0.6441,+19.265
2022-06-01 09:21:20,+8.7868,-0.6437,+19.267
2022-06-01 09:26:21,+8.7871,-0.6419,+19.277
2022-06-01 09:31:22,+8.7876,-0.6446,+19.307
2022-06-01 09:36:23,+8.7876,-0.6439,+19.302
2022-06-01 09:41:24,+8.7889,-0.6446,+19.294
2022-06-01 09:46:25,+8.7855,-0.6448,+19.289
2022-06-01 09:51:26,+8.7882,-0.6444,+19.289
2022-06-01 09:56:28,+8.7878,-0.6430,+19.294
2022-06-01 10:01:29,+8.7878,-0.6455,+19.319
2022-06-01 10:06:30,+8.7898,-0.6428,+19.335
2022-06-01 10:11:31,+8.7887,-0.6444,+19.301
2022-06-01 10:16:32,+8.7901,-0.6448,+19.333
2022-06-01 10:21:33,+8.7912,-0.6432,+19.329
2022-06-01 10:26:34,+8.7926,-0.6444,+19.341
2022-06-01 10:31:35,+8.7914,-0.6457,+19.304
2022-06-01 10:36:36,+8.7921,-0.6446,+19.287
2022-06-01 10:41:37,+8.7932,-0.6457,+19.311
2022-06-01 10:46:38,+8.7921,-0.6432,+19.311
2022-06-01 10:51:39,+8.7921,-0.6455,+19.318
2022-06-01 10:56:40,+8.7907,-0.6432,+19.309
2022-06-01 11:01:41,+8.7923,-0.6450,+19.348
2022-06-01 11:06:42,+8.7908,-0.6446,+19.382
2022-06-01 11:11:43,+8.7962,-0.6439,+19.301
2022-06-01 11:16:44,+8.7964,-0.6459,+19.343
2022-06-01 11:21:45,+8.7964,-0.6439,+19.360
2022-06-01 11:26:46,+8.7975,-0.6435,+19.291
2022-06-01 11:31:47,+8.7966,-0.6455,+19.287
2022-06-01 11:36:48,+8.7962,-0.6428,+19.269
2022-06-01 11:41:49,+8.8055,-2.6420,+19.275
2022-06-01 11:46:51,+8.8030,-2.6431,+19.302
2022-06-01 11:51:52,+8.8046,-2.6415,+19.294
2022-06-01 11:56:53,+8.8050,-2.6429,+19.313
2022-06-01 12:01:54,+8.8043,-2.6427,+19.309
2022-06-01 12:06:55,+8.8041,-2.6447,+19.331
2022-06-01 12:11:56,+8.8051,-2.6436,+19.355
2022-06-01 12:16:57,+8.8057,-2.6429,+19.326
2022-06-01 12:21:58,+8.8046,-2.6429,+19.324
2022-06-01 12:26:59,+8.8057,-2.6427,+19.287
2022-06-01 12:32:00,+8.8039,-2.6447,+19.258
2022-06-01 12:37:01,+8.8032,-2.6447,+19.277
2022-06-01 12:42:02,+8.8027,-2.6447,+19.277
2022-06-01 12:47:03,+8.8023,-2.6451,+19.242
2022-06-01 12:52:04,+8.8050,-2.6456,+19.247
2022-06-01 12:57:05,+8.8043,-2.6431,+19.265
2022-06-01 13:02:06,+8.8047,-2.6429,+19.182
2022-06-01 13:07:07,+8.8038,-2.6449,+19.189
2022-06-01 13:12:08,+8.8029,-2.6447,+19.216
2022-06-01 13:17:09,+8.8043,-2.6438,+19.194
2022-06-01 13:22:10,+8.8039,-2.6440,+19.269
2022-06-01 13:27:12,+8.8025,-2.6427,+19.309
2022-06-01 13:32:13,+8.8032,-2.6442,+19.270
2022-06-01 13:37:14,+8.8038,-2.6451,+19.150
2022-06-01 13:42:15,+8.8038,-2.6440,+19.164
2022-06-01 13:47:16,+8.8033,-2.6462,+19.155
2022-06-01 13:52:17,+8.8024,-2.6449,+19.159
2022-06-01 13:57:18,+8.8044,-2.6429,+19.128
2022-06-01 14:02:19,+8.8040,-2.6435,+19.162
2022-06-01 14:07:20,+8.8043,-2.6436,+19.272
2022-06-01 14:12:21,+8.8027,-2.6447,+19.154
2022-06-01 14:17:22,+8.8031,-2.6433,+19.165
2022-06-01 14:22:23,+8.8042,-2.6442,+19.167
2022-06-01 14:27:24,+8.8034,-2.6440,+19.194
2022-06-01 14:32:25,+8.8038,-2.6465,+19.167
2022-06-01 14:37:26,+8.8020,-2.6438,+19.154
2022-06-01 14:42:27,+8.8036,-2.6453,+19.157
2022-06-01 14:47:28,+8.8033,-2.6442,+19.128
2022-06-01 14:52:29,+8.8036,-2.6449,+19.164
2022-06-01 14:57:30,+8.8042,-2.6435,+19.137
2022-06-01 15:02:32,+8.8035,-2.6449,+19.128
2022-06-01 15:07:33,+8.8054,-2.6465,+19.240
2022-06-01 15:12:34,+8.8025,-2.6451,+19.269
2022-06-01 15:17:35,+8.8027,-2.6458,+19.164
2022-06-01 15:22:36,+8.8045,-2.6447,+19.152
2022-06-01 15:27:37,+8.8038,-2.6442,+19.189
2022-06-01 15:32:38,+8.8024,-2.6451,+19.155
2022-06-01 15:37:39,+8.8031,-2.6467,+19.155
2022-06-01 15:42:40,+8.8512,-5.7249,+19.145
2022-06-01 15:47:41,+8.8510,-5.7245,+19.194
2022-06-01 15:52:42,+8.8503,-5.7249,+19.140
2022-06-01 15:57:43,+8.8528,-5.7252,+19.230
2022-06-01 16:02:44,+8.8523,-5.7265,+19.177
