"Series","Date","Value"
"Temperature for Smartbrick 141423","2021-11-10 00:40:16","16.3"
"Temperature for Smartbrick 141423","2021-11-10 01:40:16","16.3"
"Temperature for Smartbrick 141423","2021-11-10 02:40:16","16.3"
"Temperature for Smartbrick 141423","2021-11-10 03:40:16","16.3"
"Temperature for Smartbrick 141423","2021-11-10 04:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 05:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 06:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 07:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 08:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 09:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 10:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 11:40:15","16.3"
"Temperature for Smartbrick 141423","2021-11-10 12:40:14","16.3"
"Temperature for Smartbrick 141423","2021-11-10 13:40:14","16.3"
"Temperature for Smartbrick 141423","2021-11-10 14:40:16","16.3"
"Temperature for Smartbrick 141423","2021-11-10 15:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 16:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 17:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 18:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 19:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 20:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 21:40:14","16.4"
"Temperature for Smartbrick 141423","2021-11-10 22:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-10 23:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-11 00:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-11 01:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-11 02:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 03:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 04:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 05:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 06:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 07:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-11 08:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 09:40:13","16.4"
"Temperature for Smartbrick 141423","2021-11-11 10:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 11:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 12:40:12","16.4"
"Temperature for Smartbrick 141423","2021-11-11 13:40:11","16.4"
"Temperature for Smartbrick 141423","2021-11-11 14:40:11","16.4"
"Temperature for Smartbrick 141423","2021-11-11 15:40:11","16.5"
"Temperature for Smartbrick 141423","2021-11-11 16:40:11","16.5"
"Temperature for Smartbrick 141423","2021-11-11 17:40:11","16.5"
"Temperature for Smartbrick 141423","2021-11-11 18:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-11 19:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-11 20:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-11 21:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-11 22:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-11 23:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-12 00:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-12 01:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 02:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 03:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-12 04:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 05:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 06:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 07:40:09","16.5"
"Temperature for Smartbrick 141423","2021-11-12 08:40:08","16.5"
"Temperature for Smartbrick 141423","2021-11-12 09:40:10","16.5"
"Temperature for Smartbrick 141423","2021-11-12 10:40:08","16.5"
"Temperature for Smartbrick 141423","2021-11-12 11:40:10","16.4"
"Temperature for Smartbrick 141423","2021-11-12 12:40:08","16.4"
"Temperature for Smartbrick 141423","2021-11-12 13:40:08","16.4"
"Temperature for Smartbrick 141423","2021-11-12 14:40:08","16.4"
"Temperature for Smartbrick 141423","2021-11-12 15:40:08","16.4"
"Temperature for Smartbrick 141423","2021-11-12 16:40:07","16.4"
"Temperature for Smartbrick 141423","2021-11-12 17:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 18:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 19:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 20:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 21:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 22:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-12 23:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-13 00:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 01:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 02:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-13 03:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 04:40:07","16.5"
"Temperature for Smartbrick 141423","2021-11-13 05:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 06:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 07:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 08:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 09:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 10:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 11:40:06","16.5"
"Temperature for Smartbrick 141423","2021-11-13 12:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 13:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 14:40:05","16.5"
"Temperature for Smartbrick 141423","2021-11-13 15:40:04","16.5"
"Temperature for Smartbrick 141423","2021-11-13 16:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 17:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 18:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 19:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 20:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 21:40:04","16.6"
"Temperature for Smartbrick 141423","2021-11-13 22:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-13 23:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 00:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 01:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 02:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 03:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 04:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 05:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 06:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 07:40:02","16.6"
"Temperature for Smartbrick 141423","2021-11-14 08:40:02","16.6"
"Temperature for Smartbrick 141423","2021-11-14 09:40:03","16.6"
"Temperature for Smartbrick 141423","2021-11-14 10:40:02","16.6"
"Temperature for Smartbrick 141423","2021-11-14 11:40:02","16.6"
"Temperature for Smartbrick 141423","2021-11-14 12:40:02","16.6"
"Temperature for Smartbrick 141423","2021-11-14 13:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 14:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 15:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 16:40:01","16.5"
"Temperature for Smartbrick 141423","2021-11-14 17:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 18:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 19:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 20:40:01","16.6"
"Temperature for Smartbrick 141423","2021-11-14 21:40:00","16.6"
"Temperature for Smartbrick 141423","2021-11-14 22:40:01","16.5"
"Temperature for Smartbrick 141423","2021-11-14 23:40:01","16.5"
"Temperature for Smartbrick 141423","2021-11-15 00:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 01:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 02:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 03:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 04:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 05:39:59","16.5"
"Temperature for Smartbrick 141423","2021-11-15 06:40:00","16.5"
"Temperature for Smartbrick 141423","2021-11-15 07:39:59","16.5"
"Temperature for Smartbrick 141423","2021-11-15 08:39:59","16.5"
"Temperature for Smartbrick 141423","2021-11-15 09:39:59","16.4"
"Temperature for Smartbrick 141423","2021-11-15 10:39:59","16.4"
"Temperature for Smartbrick 141423","2021-11-15 11:39:59","16.3"
"Temperature for Smartbrick 141423","2021-11-15 12:39:59","16.3"
"Temperature for Smartbrick 141423","2021-11-15 13:39:58","16.3"
"Temperature for Smartbrick 141423","2021-11-15 14:39:58","16.3"
"Temperature for Smartbrick 141423","2021-11-15 15:39:58","16.3"
"Temperature for Smartbrick 141423","2021-11-15 16:39:58","16.3"
"Temperature for Smartbrick 141423","2021-11-15 17:39:58","16.3"
"Temperature for Smartbrick 141423","2021-11-15 18:39:59","16.2"
"Temperature for Smartbrick 141423","2021-11-15 19:39:58","16.2"
"Temperature for Smartbrick 141423","2021-11-15 20:39:57","16.2"
"Temperature for Smartbrick 141423","2021-11-15 21:39:57","16.2"
"Temperature for Smartbrick 141423","2021-11-15 22:39:57","16.1"
"Temperature for Smartbrick 141423","2021-11-15 23:39:57","16.1"
"Temperature for Smartbrick 141423","2021-11-16 00:39:57","16.1"
"Temperature for Smartbrick 141423","2021-11-16 01:39:57","16.1"
"Temperature for Smartbrick 141423","2021-11-16 02:39:57","16.1"
"Temperature for Smartbrick 141423","2021-11-16 03:39:57","16"
"Temperature for Smartbrick 141423","2021-11-16 04:39:56","16"
"Temperature for Smartbrick 141423","2021-11-16 05:39:56","16"
"Temperature for Smartbrick 141423","2021-11-16 06:39:56","16"
"Temperature for Smartbrick 141423","2021-11-16 07:39:56","16"
"Temperature for Smartbrick 141423","2021-11-16 08:39:56","15.9"
"Temperature for Smartbrick 141423","2021-11-16 09:39:58","15.9"
"Temperature for Smartbrick 141423","2021-11-16 10:39:56","15.9"
"Temperature for Smartbrick 141423","2021-11-16 11:39:56","15.8"
"Temperature for Smartbrick 141423","2021-11-16 12:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 13:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 14:39:57","15.8"
"Temperature for Smartbrick 141423","2021-11-16 15:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 16:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 17:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 18:39:56","15.8"
"Temperature for Smartbrick 141423","2021-11-16 19:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-16 20:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-16 21:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-16 22:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-16 23:39:55","15.8"
"Temperature for Smartbrick 141423","2021-11-17 00:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-17 01:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-17 02:39:54","15.8"
"Temperature for Smartbrick 141423","2021-11-17 03:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 04:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 05:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 06:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 07:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 08:39:53","15.8"
"Temperature for Smartbrick 141423","2021-11-17 09:39:54","15.8"
