"Series","Date","Value"
"Battery for Smartbrick 148091","2023-01-19 00:01:15","3.594"
"Battery for Smartbrick 148091","2023-01-19 00:06:15","3.598"
"Battery for Smartbrick 148091","2023-01-19 00:11:15","3.6"
"Battery for Smartbrick 148091","2023-01-19 00:16:16","3.595"
"Battery for Smartbrick 148091","2023-01-19 00:21:15","3.597"
"Battery for Smartbrick 148091","2023-01-19 00:26:15","3.595"
"Battery for Smartbrick 148091","2023-01-19 00:31:15","3.601"
"Battery for Smartbrick 148091","2023-01-19 00:36:15","3.595"
"Battery for Smartbrick 148091","2023-01-19 00:41:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 00:46:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 00:51:15","3.595"
"Battery for Smartbrick 148091","2023-01-19 00:56:15","3.597"
"Battery for Smartbrick 148091","2023-01-19 01:01:15","3.595"
"Battery for Smartbrick 148091","2023-01-19 01:06:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:11:16","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:16:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:21:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:26:15","3.6"
"Battery for Smartbrick 148091","2023-01-19 01:31:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:36:15","3.598"
"Battery for Smartbrick 148091","2023-01-19 01:41:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 01:46:15","3.597"
"Battery for Smartbrick 148091","2023-01-19 01:51:15","3.594"
"Battery for Smartbrick 148091","2023-01-19 01:56:15","3.597"
"Battery for Smartbrick 148091","2023-01-19 02:01:15","3.598"
"Battery for Smartbrick 148091","2023-01-19 02:06:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 02:11:15","3.598"
"Battery for Smartbrick 148091","2023-01-19 02:16:15","3.597"
"Battery for Smartbrick 148091","2023-01-19 02:21:15","3.596"
"Battery for Smartbrick 148091","2023-01-19 02:26:15","3.596"
