"Series","Date","Value"
"Y for Smartbrick 148097","2023-01-19 00:00:00","55.82885742"
"Y for Smartbrick 148097","2023-01-19 00:05:00","55.80444336"
"Y for Smartbrick 148097","2023-01-19 00:10:00","55.43212891"
"Y for Smartbrick 148097","2023-01-19 00:15:00","55.75561523"
"Y for Smartbrick 148097","2023-01-19 00:20:00","55.90820312"
"Y for Smartbrick 148097","2023-01-19 00:25:00","55.87768555"
"Y for Smartbrick 148097","2023-01-19 00:30:00","55.75561523"
"Y for Smartbrick 148097","2023-01-19 00:35:00","55.48706055"
"Y for Smartbrick 148097","2023-01-19 00:40:00","55.88378906"
"Y for Smartbrick 148097","2023-01-19 00:45:00","55.48095703"
"Y for Smartbrick 148097","2023-01-19 00:50:00","55.67626953"
"Y for Smartbrick 148097","2023-01-19 00:55:00","55.76171875"
"Y for Smartbrick 148097","2023-01-19 01:00:00","55.68237305"
"Y for Smartbrick 148097","2023-01-19 01:05:00","55.83496094"
"Y for Smartbrick 148097","2023-01-19 01:10:00","55.72509766"
"Y for Smartbrick 148097","2023-01-19 01:15:00","55.91430664"
"Y for Smartbrick 148097","2023-01-19 01:20:00","55.85327148"
"Y for Smartbrick 148097","2023-01-19 01:25:00","55.82885742"
"Y for Smartbrick 148097","2023-01-19 01:30:02","55.92041016"
"Y for Smartbrick 148097","2023-01-19 01:35:01","55.84716797"
"Y for Smartbrick 148097","2023-01-19 01:40:00","55.79833984"
"Y for Smartbrick 148097","2023-01-19 01:45:00","55.69458008"
"Y for Smartbrick 148097","2023-01-19 01:50:00","55.92041016"
"Y for Smartbrick 148097","2023-01-19 01:55:00","55.71289062"
"Y for Smartbrick 148097","2023-01-19 02:00:00","55.71289062"
"Y for Smartbrick 148097","2023-01-19 02:05:00","55.6640625"
"Y for Smartbrick 148097","2023-01-19 02:10:00","55.73730469"
"Y for Smartbrick 148097","2023-01-19 02:15:00","55.82275391"
"Y for Smartbrick 148097","2023-01-19 02:20:00","55.7800293"
"Y for Smartbrick 148097","2023-01-19 02:25:00","55.5847168"
"Y for Smartbrick 148097","2023-01-19 02:30:00","55.83496094"
"Y for Smartbrick 148097","2023-01-19 02:35:00","55.77392578"
"Y for Smartbrick 148097","2023-01-19 02:40:02","55.76782227"
"Y for Smartbrick 148097","2023-01-19 02:45:00","55.67016602"
"Y for Smartbrick 148097","2023-01-19 02:50:00","55.74951172"
"Y for Smartbrick 148097","2023-01-19 02:55:00","55.68847656"
"Y for Smartbrick 148097","2023-01-19 03:00:00","55.7434082"
"Y for Smartbrick 148097","2023-01-19 03:05:00","55.64575195"
"Y for Smartbrick 148097","2023-01-19 03:10:00","55.7800293"
"Y for Smartbrick 148097","2023-01-19 03:15:01","55.9387207"
"Y for Smartbrick 148097","2023-01-19 03:20:00","55.76171875"
"Y for Smartbrick 148097","2023-01-19 03:25:00","55.81054688"
"Y for Smartbrick 148097","2023-01-19 03:30:00","56.18286133"
"Y for Smartbrick 148097","2023-01-19 03:35:00","55.84106445"
"Y for Smartbrick 148097","2023-01-19 03:40:00","55.68237305"
"Y for Smartbrick 148097","2023-01-19 03:45:00","55.90820312"
"Y for Smartbrick 148097","2023-01-19 03:50:00","55.47485352"
"Y for Smartbrick 148097","2023-01-19 03:55:00","55.56030273"
"Y for Smartbrick 148097","2023-01-19 04:00:01","55.71289062"
"Y for Smartbrick 148097","2023-01-19 04:05:00","55.93261719"
"Y for Smartbrick 148097","2023-01-19 04:10:00","55.94482422"
"Y for Smartbrick 148097","2023-01-19 04:15:00","55.63964844"
"Y for Smartbrick 148097","2023-01-19 04:20:00","55.65795898"
"Y for Smartbrick 148097","2023-01-19 04:25:00","55.93261719"
"Y for Smartbrick 148097","2023-01-19 04:30:00","55.7434082"
"Y for Smartbrick 148097","2023-01-19 04:35:00","55.87158203"
"Y for Smartbrick 148097","2023-01-19 04:40:00","56.01196289"
"Y for Smartbrick 148097","2023-01-19 04:45:00","55.68847656"
"Y for Smartbrick 148097","2023-01-19 04:50:00","55.5480957"
"Y for Smartbrick 148097","2023-01-19 04:55:00","55.59082031"
"Y for Smartbrick 148097","2023-01-19 05:00:00","55.59692383"
"Y for Smartbrick 148097","2023-01-19 05:05:00","55.5847168"
"Y for Smartbrick 148097","2023-01-19 05:10:00","55.49316406"
"Y for Smartbrick 148097","2023-01-19 05:15:00","55.70068359"
"Y for Smartbrick 148097","2023-01-19 05:20:00","55.51147461"
"Y for Smartbrick 148097","2023-01-19 05:25:00","55.79223633"
"Y for Smartbrick 148097","2023-01-19 05:30:00","55.61523438"
"Y for Smartbrick 148097","2023-01-19 05:35:00","55.9387207"
"Y for Smartbrick 148097","2023-01-19 05:40:00","55.50537109"
"Y for Smartbrick 148097","2023-01-19 05:45:00","55.59082031"
"Y for Smartbrick 148097","2023-01-19 05:50:00","55.6640625"
"Y for Smartbrick 148097","2023-01-19 05:55:00","55.59082031"
"Y for Smartbrick 148097","2023-01-19 06:00:00","55.88378906"
"Y for Smartbrick 148097","2023-01-19 06:05:00","55.90209961"
"Y for Smartbrick 148097","2023-01-19 06:10:00","55.62133789"
"Y for Smartbrick 148097","2023-01-19 06:15:00","55.49316406"
"Y for Smartbrick 148097","2023-01-19 06:20:00","55.51147461"
"Y for Smartbrick 148097","2023-01-19 06:25:00","55.79833984"
"Y for Smartbrick 148097","2023-01-19 06:30:00","55.53588867"
