"Series","Date","Value"
"Temperature for Smartbrick 163077","2023-03-18 11:11:28","28.6"
"Temperature for Smartbrick 163077","2023-03-18 17:11:27","23.7"
"Temperature for Smartbrick 163077","2023-03-18 23:11:27","20.6"
"Temperature for Smartbrick 163077","2023-03-19 05:11:26","19.7"
"Temperature for Smartbrick 163077","2023-03-19 11:11:25","20.1"
"Temperature for Smartbrick 163077","2023-03-19 17:11:24","20.9"
"Temperature for Smartbrick 163077","2023-03-19 23:11:23","19.6"
"Temperature for Smartbrick 163077","2023-03-20 05:11:23","19.3"
"Temperature for Smartbrick 163077","2023-03-20 11:11:22","20.7"
"Temperature for Smartbrick 163077","2023-03-20 17:11:21","20.9"
"Temperature for Smartbrick 163077","2023-03-20 23:11:20","20"
"Temperature for Smartbrick 163077","2023-03-21 05:11:21","19.8"
"Temperature for Smartbrick 163077","2023-03-21 11:11:18","21.9"
"Temperature for Smartbrick 163077","2023-03-21 17:11:19","22.5"
"Temperature for Smartbrick 163077","2023-03-21 23:11:17","20.7"
"Temperature for Smartbrick 163077","2023-03-22 05:11:16","19.9"
"Temperature for Smartbrick 163077","2023-03-22 11:11:16","20.3"
"Temperature for Smartbrick 163077","2023-03-22 17:11:14","20.8"
"Temperature for Smartbrick 163077","2023-03-22 23:11:14","20.1"
"Temperature for Smartbrick 163077","2023-03-23 05:11:13","20"
"Temperature for Smartbrick 163077","2023-03-23 11:11:12","22.1"
"Temperature for Smartbrick 163077","2023-03-23 17:11:11","23.1"
"Temperature for Smartbrick 163077","2023-03-23 23:11:11","21"
"Temperature for Smartbrick 163077","2023-03-24 05:11:10","20.2"
"Temperature for Smartbrick 163077","2023-03-24 11:11:09","27.9"
"Temperature for Smartbrick 163077","2023-03-24 17:11:08","26.6"
"Temperature for Smartbrick 163077","2023-03-24 23:11:07","21.3"
"Temperature for Smartbrick 163077","2023-03-25 05:11:07","20"
"Temperature for Smartbrick 163077","2023-03-25 11:11:06","22.5"
"Temperature for Smartbrick 163077","2023-03-25 17:11:06","24.4"
