datetime,angle Y,angle X,temp
2023-04-11 09:50:25,+0.0293,+0.3301,+20.319
2023-04-11 09:50:27,+0.0248,+0.3339,+20.316
2023-04-11 09:50:29,+0.0064,+0.3364,+20.319
2023-04-11 09:50:31,+0.0147,+0.3312,+20.321
2023-04-11 09:50:33,+0.0212,+0.3474,+20.316
2023-04-11 09:50:35,+0.0057,+0.3469,+20.312
2023-04-11 09:50:37,-0.0030,+0.3453,+20.312
2023-04-11 09:50:40,-0.0026,+0.3648,+20.311
2023-04-11 09:50:42,+0.0241,+0.3572,+20.321
2023-04-11 09:50:44,+2.5567,+0.3476,+20.321
2023-04-11 09:50:46,+5.6864,+0.3899,+20.321
2023-04-11 09:50:48,+8.6667,+0.4074,+20.324
2023-04-11 09:50:50,+11.9935,+0.4463,+20.328
2023-04-11 09:50:52,+14.9203,+0.4721,+20.326
2023-04-11 09:50:54,+17.7823,+0.5047,+20.326
2023-04-11 09:50:56,+20.5967,+0.5310,+20.322
2023-04-11 09:50:58,+23.3565,+0.5505,+20.311
2023-04-11 09:51:00,+26.0856,+0.5563,+20.307
2023-04-11 09:51:02,+28.6467,+0.4895,+20.306
2023-04-11 09:51:04,+30.1896,+0.2300,+20.300
2023-04-11 09:51:06,+28.3484,+0.5520,+20.306
2023-04-11 09:51:08,+24.5133,+0.5697,+20.317
2023-04-11 09:51:10,+20.6411,+0.5695,+20.317
2023-04-11 09:51:12,+16.6494,+0.5384,+20.319
2023-04-11 09:51:14,+12.5420,+0.4980,+20.324
2023-04-11 09:51:16,+7.7945,+0.4470,+20.326
2023-04-11 09:51:18,+3.4134,+0.3930,+20.326
2023-04-11 09:51:20,+0.1195,+0.3344,+20.322
2023-04-11 09:51:22,+0.0926,+0.3402,+20.324
2023-04-11 09:51:25,+0.0776,+0.3427,+20.317
2023-04-11 09:51:27,+0.0702,+0.3456,+20.316
2023-04-11 09:51:29,+0.0687,+0.3465,+20.322
2023-04-11 09:51:31,+0.0765,+0.3462,+20.322
2023-04-11 09:51:33,+0.0752,+0.3478,+20.329
2023-04-11 09:51:35,+0.0761,+0.3491,+20.334
2023-04-11 09:51:37,+0.0850,+0.3447,+20.338
2023-04-11 09:51:39,+0.0940,+0.3415,+20.329
2023-04-11 09:51:41,+0.0812,+0.3424,+20.331
2023-04-11 09:51:43,+0.0853,+0.3433,+20.326
2023-04-11 09:51:45,+0.0819,+0.3465,+20.319
2023-04-11 09:51:47,+0.0747,+0.3458,+20.319
2023-04-11 09:51:49,+0.0725,+0.3456,+20.312
2023-04-11 09:51:51,+0.0785,+0.3447,+20.311
2023-04-11 09:51:53,+0.0823,+0.3433,+20.312
2023-04-11 09:51:55,+0.1061,+0.3514,+20.314
2023-04-11 09:51:57,+0.3395,+0.3306,+20.321
2023-04-11 09:51:59,+2.2592,+0.3328,+20.334
2023-04-11 09:52:01,+2.2394,+0.3362,+20.338
2023-04-11 09:52:03,+2.2206,+0.3435,+20.343
2023-04-11 09:52:05,+2.1919,+0.3529,+20.348
2023-04-11 09:52:08,+2.1872,+0.3534,+20.344
2023-04-11 09:52:10,+4.9316,+0.3879,+20.343
2023-04-11 09:52:12,+8.3095,+0.4098,+20.346
2023-04-11 09:52:14,+11.2679,+0.4391,+20.338
