datetime,angle Y,angle X,temp
2023-02-20 16:30:16,+0.1662,+0.6798,+21.985
2023-02-20 16:30:27,+0.1651,+0.6784,+21.997
2023-02-20 16:30:38,+0.1169,+0.7056,+21.977
2023-02-20 16:30:49,+15.3716,+0.8212,+21.989
2023-02-20 16:31:00,+28.5790,+0.4949,+22.006
2023-02-20 16:31:11,+12.5077,+0.8615,+22.014
2023-02-20 16:31:22,+0.0646,+0.7015,+22.051
2023-02-20 16:31:33,+0.0982,+0.6881,+22.060
2023-02-20 16:31:44,+0.1237,+0.6872,+22.082
2023-02-20 16:31:55,+0.0980,+0.6910,+22.088
2023-02-20 16:32:06,+0.1027,+0.6894,+22.114
2023-02-20 16:32:17,+0.0944,+0.6867,+22.115
2023-02-20 16:32:28,+0.0761,+0.6912,+22.122
2023-02-20 16:32:40,+0.0951,+0.6876,+22.153
2023-02-20 16:32:51,+0.1236,+0.6838,+22.170
2023-02-20 16:33:02,+0.0768,+0.6941,+22.175
2023-02-20 16:33:13,+0.0994,+0.6795,+22.188
2023-02-20 16:33:24,+0.1081,+0.6770,+22.163
2023-02-20 16:33:35,+0.0983,+0.6779,+22.198
2023-02-20 16:33:46,+0.1100,+0.6773,+22.200
2023-02-20 16:33:57,+0.0768,+0.6858,+22.190
2023-02-20 16:34:08,+0.1046,+0.6761,+22.188
2023-02-20 16:34:19,+0.1046,+0.6784,+22.190
2023-02-20 16:34:30,+0.0963,+0.6835,+22.207
2023-02-20 16:34:41,+0.0994,+0.6838,+22.197
2023-02-20 16:34:52,+0.0968,+0.6817,+22.217
2023-02-20 16:35:03,+0.0795,+0.6880,+22.217
2023-02-20 16:35:14,+0.0950,+0.6719,+22.212
2023-02-20 16:35:25,+0.1053,+0.6795,+22.202
2023-02-20 16:35:36,+0.1095,+0.6735,+22.198
2023-02-20 16:35:47,+0.1017,+0.6777,+22.209
2023-02-20 16:35:58,+0.1225,+0.6784,+22.175
2023-02-20 16:36:09,+0.0992,+0.6791,+22.149
2023-02-20 16:36:20,+0.1034,+0.6797,+22.156
2023-02-20 16:36:32,+0.0994,+0.6826,+22.165
2023-02-20 16:36:43,+0.1068,+0.6712,+22.161
2023-02-20 16:36:54,+0.0871,+0.6838,+22.148
2023-02-20 16:37:05,+0.1037,+0.6770,+22.173
2023-02-20 16:37:16,+0.0932,+0.6786,+22.185
2023-02-20 16:37:27,+0.1086,+0.6791,+22.159
2023-02-20 16:37:38,+0.1041,+0.6746,+22.151
2023-02-20 16:37:49,+0.1189,+0.6726,+22.165
2023-02-20 16:38:00,+0.1028,+0.6822,+22.146
2023-02-20 16:38:11,+0.0990,+0.6777,+22.159
2023-02-20 16:38:22,+0.1034,+0.6732,+22.146
2023-02-20 16:38:33,+0.1104,+0.6750,+22.166
2023-02-20 16:38:44,+0.1028,+0.6741,+22.146
2023-02-20 16:38:55,+0.1164,+0.6939,+22.139
2023-02-20 16:39:06,+0.1261,+0.6865,+22.146
2023-02-20 16:39:17,+0.1055,+0.6779,+22.154
2023-02-20 16:39:28,+0.1086,+0.6753,+22.170
2023-02-20 16:39:39,+0.0927,+0.6851,+22.171
2023-02-20 16:39:50,+0.1160,+0.6701,+22.173
2023-02-20 16:40:01,+0.0900,+0.6860,+22.165
2023-02-20 16:40:13,+0.0963,+0.6779,+22.173
2023-02-20 16:40:24,+0.0869,+0.6824,+22.183
2023-02-20 16:40:35,+0.0775,+0.6860,+22.193
2023-02-20 16:40:46,+0.1037,+0.6797,+22.178
2023-02-20 16:40:57,+0.1064,+0.6739,+22.161
2023-02-20 16:41:08,+0.0860,+0.6833,+22.144
2023-02-20 16:41:19,+0.1073,+0.6750,+22.175
2023-02-20 16:41:30,+0.1053,+0.6730,+22.185
2023-02-20 16:41:41,+0.0876,+0.6824,+22.202
2023-02-20 16:41:52,+0.1053,+0.6782,+22.202
2023-02-20 16:42:03,+0.1012,+0.6833,+22.193
2023-02-20 16:42:14,+0.0934,+0.6858,+22.193
2023-02-20 16:42:25,+0.1120,+0.6808,+22.214
2023-02-20 16:42:36,+0.1068,+0.6804,+22.203
2023-02-20 16:42:47,+0.1073,+0.6761,+22.180
2023-02-20 16:42:58,+0.0863,+0.6864,+22.239
2023-02-20 16:43:09,+0.1097,+0.6768,+22.183
2023-02-20 16:43:20,+0.0797,+0.6826,+22.170
2023-02-20 16:43:31,+0.0873,+0.6880,+22.165
2023-02-20 16:43:42,+0.1169,+0.6766,+22.161
2023-02-20 16:43:53,+0.1063,+0.6762,+22.154
2023-02-20 16:44:05,+0.1068,+0.6773,+22.121
2023-02-20 16:44:16,+0.0973,+0.6777,+22.082
2023-02-20 16:44:27,+0.1237,+0.6755,+22.056
2023-02-20 16:44:38,+0.0921,+0.6791,+22.031
2023-02-20 16:44:49,+0.1084,+0.6847,+21.997
2023-02-20 16:45:00,+0.0891,+0.6834,+21.970
2023-02-20 16:45:11,+0.0889,+0.6905,+21.960
2023-02-20 16:45:22,+0.0962,+0.6807,+21.891
2023-02-20 16:45:33,+0.0924,+0.6850,+21.847
2023-02-20 16:45:44,+0.1067,+0.6767,+21.794
2023-02-20 16:45:55,+0.1227,+0.6751,+21.711
2023-02-20 16:46:06,+0.0967,+0.6861,+21.662
2023-02-20 16:46:17,+0.0997,+0.6783,+21.583
2023-02-20 16:46:28,+0.0934,+0.6873,+21.503
2023-02-20 16:46:39,+0.0900,+0.6914,+21.449
2023-02-20 16:46:50,+0.1036,+0.6846,+21.398
2023-02-20 16:47:01,+0.1011,+0.6876,+21.354
2023-02-20 16:47:12,+0.1054,+0.6818,+21.253
2023-02-20 16:47:23,+0.0986,+0.6831,+21.156
2023-02-20 16:47:34,+0.0954,+0.6834,+21.079
2023-02-20 16:47:45,+0.1012,+0.6859,+20.987
2023-02-20 16:47:57,+0.1143,+0.6796,+20.903
