"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-07 09:51:19"",""3.2"""
"Temperature for Smartbrick 141419,""2022-03-07 10:01:18"",""3.4"""
"Temperature for Smartbrick 141419,""2022-03-07 10:11:18"",""3.5"""
"Temperature for Smartbrick 141419,""2022-03-07 10:21:22"",""3.7"""
"Temperature for Smartbrick 141419,""2022-03-07 10:31:21"",""3.8"""
"Temperature for Smartbrick 141419,""2022-03-07 10:41:20"",""3.9"""
"Temperature for Smartbrick 141419,""2022-03-07 10:51:19"",""4"""
"Temperature for Smartbrick 141419,""2022-03-07 11:01:18"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-07 11:11:18"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-07 11:21:18"",""4.4"""
"Temperature for Smartbrick 141419,""2022-03-07 11:31:22"",""4.5"""
"Temperature for Smartbrick 141419,""2022-03-07 11:51:18"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-07 12:01:18"",""4.8"""
"Temperature for Smartbrick 141419,""2022-03-07 12:11:18"",""5"""
"Temperature for Smartbrick 141419,""2022-03-07 12:21:18"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-07 12:31:19"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-07 12:41:18"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-07 12:51:18"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-07 13:01:18"",""5.2"""
"Temperature for Smartbrick 141419,""2022-03-07 13:11:19"",""5.3"""
"Temperature for Smartbrick 141419,""2022-03-07 13:21:22"",""5.3"""
"Temperature for Smartbrick 141419,""2022-03-07 13:31:22"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-07 13:41:22"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-07 13:51:18"",""5.5"""
"Temperature for Smartbrick 141419,""2022-03-07 14:01:18"",""5.5"""
"Temperature for Smartbrick 141419,""2022-03-07 14:11:19"",""5.6"""
"Temperature for Smartbrick 141419,""2022-03-07 14:21:18"",""5.7"""
"Temperature for Smartbrick 141419,""2022-03-07 14:41:18"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-07 14:51:23"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-07 15:01:18"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-07 15:11:19"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-07 15:21:18"",""6"""
"Temperature for Smartbrick 141419,""2022-03-07 15:31:18"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-07 15:41:18"",""6"""
"Temperature for Smartbrick 141419,""2022-03-07 15:51:18"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-07 16:01:18"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-07 16:11:18"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-07 16:21:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-07 16:31:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-07 16:41:19"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-07 16:51:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-07 17:01:18"",""6.2"""
"Temperature for Smartbrick 141419,""2022-03-07 17:11:18"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-07 17:21:22"",""6.1"""
"Temperature for Smartbrick 141419,""2022-03-07 17:31:24"",""6"""
"Temperature for Smartbrick 141419,""2022-03-07 17:41:18"",""5.9"""
"Temperature for Smartbrick 141419,""2022-03-07 17:51:18"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-07 18:01:19"",""5.7"""
"Temperature for Smartbrick 141419,""2022-03-07 18:11:18"",""5.6"""
"Temperature for Smartbrick 141419,""2022-03-07 18:21:18"",""5.4"""
"Temperature for Smartbrick 141419,""2022-03-07 18:31:18"",""5.3"""
"Temperature for Smartbrick 141419,""2022-03-07 18:41:18"",""5"""
"Temperature for Smartbrick 141419,""2022-03-07 18:51:18"",""4.9"""
"Temperature for Smartbrick 141419,""2022-03-07 19:01:18"",""4.9"""
"Temperature for Smartbrick 141419,""2022-03-07 19:11:18"",""4.8"""
"Temperature for Smartbrick 141419,""2022-03-07 19:21:18"",""4.8"""
"Temperature for Smartbrick 141419,""2022-03-07 19:31:18"",""4.8"""
"Temperature for Smartbrick 141419,""2022-03-07 19:41:18"",""4.7"""
"Temperature for Smartbrick 141419,""2022-03-07 19:51:18"",""4.6"""
"Temperature for Smartbrick 141419,""2022-03-07 20:01:18"",""4.5"""
"Temperature for Smartbrick 141419,""2022-03-07 20:11:18"",""4.5"""
"Temperature for Smartbrick 141419,""2022-03-07 20:21:20"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-07 20:31:18"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-07 20:41:19"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-07 20:51:18"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-07 21:01:18"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-07 21:11:19"",""4.2"""
"Temperature for Smartbrick 141419,""2022-03-07 21:21:20"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-07 21:31:18"",""4"""
"Temperature for Smartbrick 141419,""2022-03-07 21:41:20"",""4"""
"Temperature for Smartbrick 141419,""2022-03-07 21:51:18"",""4"""
"Temperature for Smartbrick 141419,""2022-03-07 22:01:19"",""4"""
