"Series","Date","Value"
"Y for Smartbrick 141419","2022-03-07 09:51:19","2.9296875"
"Y for Smartbrick 141419","2022-03-07 10:01:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 10:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-07 10:21:22","2.9296875"
"Y for Smartbrick 141419","2022-03-07 10:31:21","2.93579102"
"Y for Smartbrick 141419","2022-03-07 10:41:20","2.94799805"
"Y for Smartbrick 141419","2022-03-07 10:51:19","2.94799805"
"Y for Smartbrick 141419","2022-03-07 11:01:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 11:11:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 11:21:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 11:31:22","2.94799805"
"Y for Smartbrick 141419","2022-03-07 11:51:18","2.96020508"
"Y for Smartbrick 141419","2022-03-07 12:01:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 12:11:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 12:21:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 12:31:19","2.94189453"
"Y for Smartbrick 141419","2022-03-07 12:41:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 12:51:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 13:01:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 13:11:19","2.94799805"
"Y for Smartbrick 141419","2022-03-07 13:21:22","2.94189453"
"Y for Smartbrick 141419","2022-03-07 13:31:22","2.94189453"
"Y for Smartbrick 141419","2022-03-07 13:41:22","2.94189453"
"Y for Smartbrick 141419","2022-03-07 13:51:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 14:01:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 14:11:19","2.93579102"
"Y for Smartbrick 141419","2022-03-07 14:21:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 14:41:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 14:51:23","2.94189453"
"Y for Smartbrick 141419","2022-03-07 15:01:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 15:11:19","2.93579102"
"Y for Smartbrick 141419","2022-03-07 15:21:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 15:31:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 15:41:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 15:51:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 16:01:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 16:11:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 16:21:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 16:31:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 16:41:19","2.93579102"
"Y for Smartbrick 141419","2022-03-07 16:51:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 17:01:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 17:11:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 17:21:22","2.94189453"
"Y for Smartbrick 141419","2022-03-07 17:31:24","2.94189453"
"Y for Smartbrick 141419","2022-03-07 17:41:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 17:51:18","2.94799805"
"Y for Smartbrick 141419","2022-03-07 18:01:19","2.94189453"
"Y for Smartbrick 141419","2022-03-07 18:11:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 18:21:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 18:31:18","2.94189453"
"Y for Smartbrick 141419","2022-03-07 18:41:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 18:51:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 19:01:18","2.9296875"
"Y for Smartbrick 141419","2022-03-07 19:11:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 19:21:18","2.93579102"
"Y for Smartbrick 141419","2022-03-07 19:31:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 19:41:18","2.9296875"
"Y for Smartbrick 141419","2022-03-07 19:51:18","2.9296875"
"Y for Smartbrick 141419","2022-03-07 20:01:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 20:11:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 20:21:20","2.91748047"
"Y for Smartbrick 141419","2022-03-07 20:31:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 20:41:19","2.92358398"
"Y for Smartbrick 141419","2022-03-07 20:51:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 21:01:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 21:11:19","2.91748047"
"Y for Smartbrick 141419","2022-03-07 21:21:20","2.91748047"
"Y for Smartbrick 141419","2022-03-07 21:31:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 21:41:20","2.91748047"
"Y for Smartbrick 141419","2022-03-07 21:51:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 22:01:19","2.91748047"
"Y for Smartbrick 141419","2022-03-07 22:11:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 22:21:19","2.92358398"
"Y for Smartbrick 141419","2022-03-07 22:31:23","2.91748047"
"Y for Smartbrick 141419","2022-03-07 22:41:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 22:51:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 23:01:18","2.92358398"
"Y for Smartbrick 141419","2022-03-07 23:11:19","2.91748047"
"Y for Smartbrick 141419","2022-03-07 23:21:18","2.91748047"
"Y for Smartbrick 141419","2022-03-07 23:31:22","2.92358398"
"Y for Smartbrick 141419","2022-03-07 23:41:19","2.92358398"
"Y for Smartbrick 141419","2022-03-07 23:51:22","2.92358398"
"Y for Smartbrick 141419","2022-03-08 00:01:22","2.92358398"
"Y for Smartbrick 141419","2022-03-08 00:11:18","2.92358398"
"Y for Smartbrick 141419","2022-03-08 00:21:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 00:31:18","2.92358398"
"Y for Smartbrick 141419","2022-03-08 00:41:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 00:51:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:01:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:21:22","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:31:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:41:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 01:51:22","2.9296875"
"Y for Smartbrick 141419","2022-03-08 02:01:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 02:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 02:21:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 02:31:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 02:41:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 02:51:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 03:01:22","2.93579102"
"Y for Smartbrick 141419","2022-03-08 03:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 03:21:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 03:31:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 03:41:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 03:51:19","2.93579102"
"Y for Smartbrick 141419","2022-03-08 04:01:22","2.9296875"
"Y for Smartbrick 141419","2022-03-08 04:11:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 04:21:21","2.93579102"
"Y for Smartbrick 141419","2022-03-08 04:31:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 04:41:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 04:51:20","2.93579102"
"Y for Smartbrick 141419","2022-03-08 05:01:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 05:11:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 05:21:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 05:31:19","2.9296875"
"Y for Smartbrick 141419","2022-03-08 05:41:20","2.9296875"
"Y for Smartbrick 141419","2022-03-08 05:51:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 06:01:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 06:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 06:21:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 06:41:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 06:51:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 07:01:24","2.94189453"
"Y for Smartbrick 141419","2022-03-08 07:11:18","2.94189453"
"Y for Smartbrick 141419","2022-03-08 07:21:18","2.94189453"
"Y for Smartbrick 141419","2022-03-08 07:31:19","2.93579102"
"Y for Smartbrick 141419","2022-03-08 07:41:18","2.94189453"
"Y for Smartbrick 141419","2022-03-08 07:51:23","2.94189453"
"Y for Smartbrick 141419","2022-03-08 08:01:18","2.94189453"
"Y for Smartbrick 141419","2022-03-08 08:11:18","2.94189453"
"Y for Smartbrick 141419","2022-03-08 08:21:22","2.93579102"
"Y for Smartbrick 141419","2022-03-08 08:31:19","2.94189453"
"Y for Smartbrick 141419","2022-03-08 08:41:19","2.93579102"
"Y for Smartbrick 141419","2022-03-08 08:51:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 09:01:18","2.93579102"
"Y for Smartbrick 141419","2022-03-08 09:11:18","2.9296875"
"Y for Smartbrick 141419","2022-03-08 09:21:19","2.92358398"
"Y for Smartbrick 141419","2022-03-08 09:31:18","2.92358398"
