"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-07 11:53:02"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 12:03:02"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 12:13:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 12:23:03"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 12:33:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 12:43:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 12:53:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 13:03:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 13:13:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 13:23:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 13:33:03"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 13:43:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 13:53:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 14:03:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 14:13:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 14:23:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 14:33:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 14:43:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 14:53:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 15:03:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 15:13:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 15:23:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 15:33:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 15:43:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 15:53:02"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 16:03:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 16:13:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 16:23:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 16:33:04"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 16:43:02"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 16:53:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 17:03:02"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 17:13:01"",""1.73339844"""
"Y for Smartbrick 141425,""2022-03-07 17:23:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 17:33:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 17:43:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 17:53:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-07 18:03:01"",""1.72729492"""
"Y for Smartbrick 141425,""2022-03-07 18:13:02"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-07 18:23:02"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-07 18:33:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-07 18:43:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-07 18:53:02"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-07 19:03:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-07 19:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-07 19:23:02"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-07 19:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 19:43:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 19:53:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-07 20:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 20:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 20:23:03"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 20:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 20:43:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 20:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 21:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 21:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 21:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 21:33:02"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 21:43:02"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 21:53:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 22:03:03"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 22:13:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 22:23:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 22:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 22:43:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 22:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 23:03:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 23:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 23:23:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 23:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-07 23:43:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-07 23:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 00:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 00:13:01"",""1.70288086"""
"Y for Smartbrick 141425,""2022-03-08 00:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 00:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 00:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 00:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 01:03:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 01:13:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 01:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 01:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 01:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 01:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:03:01"",""1.72119141"""
"Y for Smartbrick 141425,""2022-03-08 02:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 02:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 02:33:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:43:03"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 02:53:01"",""1.70898438"""
"Y for Smartbrick 141425,""2022-03-08 03:03:03"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:13:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:23:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:33:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:43:01"",""1.71508789"""
"Y for Smartbrick 141425,""2022-03-08 03:53:01"",""1.71508789"""
