"Series","Date","Value"
"Temperature for Smartbrick 148070","2022-03-07 17:22:19","8.4"
"Temperature for Smartbrick 148070","2022-03-07 23:22:19","6"
"Temperature for Smartbrick 148070","2022-03-08 05:22:20","4"
"Temperature for Smartbrick 148070","2022-03-08 11:22:18","6.2"
"Temperature for Smartbrick 148070","2022-03-08 17:22:17","9.9"
"Temperature for Smartbrick 148070","2022-03-08 23:22:16","6.7"
"Temperature for Smartbrick 148070","2022-03-09 05:22:16","5.2"
"Temperature for Smartbrick 148070","2022-03-09 11:22:15","7.4"
"Temperature for Smartbrick 148070","2022-03-09 17:22:14","12"
"Temperature for Smartbrick 148070","2022-03-09 23:22:14","8.5"
"Temperature for Smartbrick 148070","2022-03-10 05:22:13","6.5"
"Temperature for Smartbrick 148070","2022-03-10 11:22:13","8.9"
"Temperature for Smartbrick 148070","2022-03-10 17:22:12","13.4"
"Temperature for Smartbrick 148070","2022-03-10 23:22:11","9.6"
"Temperature for Smartbrick 148070","2022-03-11 05:22:10","7.4"
"Temperature for Smartbrick 148070","2022-03-11 11:22:10","9.7"
"Temperature for Smartbrick 148070","2022-03-11 17:22:09","13.5"
"Temperature for Smartbrick 148070","2022-03-11 23:22:08","10.9"
"Temperature for Smartbrick 148070","2022-03-12 05:22:07","9.6"
"Temperature for Smartbrick 148070","2022-03-12 11:22:07","12"
"Temperature for Smartbrick 148070","2022-03-12 17:22:06","13"
"Temperature for Smartbrick 148070","2022-03-12 23:22:05","11.7"
"Temperature for Smartbrick 148070","2022-03-13 05:22:05","10.5"
"Temperature for Smartbrick 148070","2022-03-13 11:22:04","12.5"
"Temperature for Smartbrick 148070","2022-03-13 17:22:03","14.8"
"Temperature for Smartbrick 148070","2022-03-13 23:22:02","12.3"
"Temperature for Smartbrick 148070","2022-03-14 05:22:02","10.9"
"Temperature for Smartbrick 148070","2022-03-14 11:22:01","12.2"
