"Series","Date","Value"
"Temperature for Smartbrick 148074","2022-03-07 17:53:48","6.2"
"Temperature for Smartbrick 148074","2022-03-07 23:53:48","4.5"
"Temperature for Smartbrick 148074","2022-03-08 05:53:47","2.9"
"Temperature for Smartbrick 148074","2022-03-08 11:53:48","8.5"
"Temperature for Smartbrick 148074","2022-03-08 17:53:47","8.2"
"Temperature for Smartbrick 148074","2022-03-08 23:53:46","5.5"
"Temperature for Smartbrick 148074","2022-03-09 05:53:46","3.8"
"Temperature for Smartbrick 148074","2022-03-09 11:53:46","10.1"
"Temperature for Smartbrick 148074","2022-03-09 17:53:45","10"
"Temperature for Smartbrick 148074","2022-03-09 23:53:44","7.4"
"Temperature for Smartbrick 148074","2022-03-10 05:53:44","5.5"
"Temperature for Smartbrick 148074","2022-03-10 11:53:44","11.9"
"Temperature for Smartbrick 148074","2022-03-10 17:53:43","11.9"
"Temperature for Smartbrick 148074","2022-03-10 23:53:42","9.1"
"Temperature for Smartbrick 148074","2022-03-11 05:53:42","6.5"
"Temperature for Smartbrick 148074","2022-03-11 11:53:42","12.5"
"Temperature for Smartbrick 148074","2022-03-11 17:53:41","12.3"
"Temperature for Smartbrick 148074","2022-03-11 23:53:40","10.3"
"Temperature for Smartbrick 148074","2022-03-12 05:53:40","8.8"
"Temperature for Smartbrick 148074","2022-03-12 11:53:40","13.8"
"Temperature for Smartbrick 148074","2022-03-12 17:53:38","12.2"
"Temperature for Smartbrick 148074","2022-03-12 23:53:38","11.5"
"Temperature for Smartbrick 148074","2022-03-13 05:53:38","10.3"
"Temperature for Smartbrick 148074","2022-03-13 11:53:37","14.4"
"Temperature for Smartbrick 148074","2022-03-13 17:53:36","14.3"
"Temperature for Smartbrick 148074","2022-03-13 23:53:36","11.7"
"Temperature for Smartbrick 148074","2022-03-14 05:53:35","10.3"
"Temperature for Smartbrick 148074","2022-03-14 11:53:36","13.4"
