"Series","Date","Value"
"Temperature for Smartbrick 148097","2022-03-21 14:02:28","18.2"
"Temperature for Smartbrick 148097","2022-03-21 14:07:30","18"
"Temperature for Smartbrick 148097","2022-03-21 14:12:30","17.7"
"Temperature for Smartbrick 148097","2022-03-21 14:17:30","17.5"
"Temperature for Smartbrick 148097","2022-03-21 14:22:19","17.4"
"Temperature for Smartbrick 148097","2022-03-21 14:22:28","17.4"
"Temperature for Smartbrick 148097","2022-03-21 14:27:30","17.5"
"Temperature for Smartbrick 148097","2022-03-21 14:32:30","17.5"
"Temperature for Smartbrick 148097","2022-03-21 14:37:29","17.7"
"Temperature for Smartbrick 148097","2022-03-21 14:42:30","17.9"
"Temperature for Smartbrick 148097","2022-03-21 14:47:29","18.6"
"Temperature for Smartbrick 148097","2022-03-21 14:52:29","18.5"
"Temperature for Smartbrick 148097","2022-03-21 14:57:30","18"
"Temperature for Smartbrick 148097","2022-03-21 15:02:29","18"
"Temperature for Smartbrick 148097","2022-03-21 15:07:29","17.8"
"Temperature for Smartbrick 148097","2022-03-21 15:12:29","17.7"
"Temperature for Smartbrick 148097","2022-03-21 15:17:30","17.7"
"Temperature for Smartbrick 148097","2022-03-21 15:22:30","17.5"
"Temperature for Smartbrick 148097","2022-03-21 15:27:29","17.4"
"Temperature for Smartbrick 148097","2022-03-21 15:32:29","17.3"
"Temperature for Smartbrick 148097","2022-03-21 15:37:30","17.2"
"Temperature for Smartbrick 148097","2022-03-21 15:42:29","17.1"
"Temperature for Smartbrick 148097","2022-03-21 15:47:30","17.1"
"Temperature for Smartbrick 148097","2022-03-21 15:52:29","17.1"
"Temperature for Smartbrick 148097","2022-03-21 15:57:30","17"
"Temperature for Smartbrick 148097","2022-03-21 16:02:30","17"
"Temperature for Smartbrick 148097","2022-03-21 16:07:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:12:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:17:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:22:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:27:29","16.9"
"Temperature for Smartbrick 148097","2022-03-21 16:32:29","16.9"
"Temperature for Smartbrick 148097","2022-03-21 16:37:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:42:29","16.9"
"Temperature for Smartbrick 148097","2022-03-21 16:47:29","16.9"
"Temperature for Smartbrick 148097","2022-03-21 16:52:29","17"
"Temperature for Smartbrick 148097","2022-03-21 16:57:29","17"
"Temperature for Smartbrick 148097","2022-03-21 17:02:30","17"
"Temperature for Smartbrick 148097","2022-03-21 17:07:29","17"
"Temperature for Smartbrick 148097","2022-03-21 17:12:29","17"
"Temperature for Smartbrick 148097","2022-03-21 17:17:29","16"
"Temperature for Smartbrick 148097","2022-03-21 17:22:29","11.1"
"Temperature for Smartbrick 148097","2022-03-21 17:27:29","4.5"
"Temperature for Smartbrick 148097","2022-03-21 17:32:29","-0.7"
"Temperature for Smartbrick 148097","2022-03-21 17:37:29","-5.1"
"Temperature for Smartbrick 148097","2022-03-21 17:42:29","-8.4"
"Temperature for Smartbrick 148097","2022-03-21 17:47:29","-10.9"
"Temperature for Smartbrick 148097","2022-03-21 17:52:29","-12.7"
"Temperature for Smartbrick 148097","2022-03-21 17:57:29","-14.1"
"Temperature for Smartbrick 148097","2022-03-21 18:02:29","-15.2"
"Temperature for Smartbrick 148097","2022-03-21 18:07:29","-16"
"Temperature for Smartbrick 148097","2022-03-21 18:12:29","-16.7"
"Temperature for Smartbrick 148097","2022-03-21 18:17:29","-17.2"
"Temperature for Smartbrick 148097","2022-03-21 18:22:29","-17.6"
"Temperature for Smartbrick 148097","2022-03-21 18:27:29","-17.8"
"Temperature for Smartbrick 148097","2022-03-21 18:32:29","-18.1"
"Temperature for Smartbrick 148097","2022-03-21 18:37:29","-18.3"
"Temperature for Smartbrick 148097","2022-03-21 18:42:29","-18.4"
"Temperature for Smartbrick 148097","2022-03-21 18:47:29","-18.5"
"Temperature for Smartbrick 148097","2022-03-21 18:52:29","-18.6"
"Temperature for Smartbrick 148097","2022-03-21 18:57:29","-18.7"
"Temperature for Smartbrick 148097","2022-03-21 19:02:29","-18.7"
"Temperature for Smartbrick 148097","2022-03-21 19:07:29","-18.8"
"Temperature for Smartbrick 148097","2022-03-21 19:12:29","-18.8"
"Temperature for Smartbrick 148097","2022-03-21 19:17:29","-18.8"
"Temperature for Smartbrick 148097","2022-03-21 19:22:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:27:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:32:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:37:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:42:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:47:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:52:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 19:57:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:02:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:07:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:12:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:17:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:22:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:27:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:32:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:37:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:42:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:47:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:52:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 20:57:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:02:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:07:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:12:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:17:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:22:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:27:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:32:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:37:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:42:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:47:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:52:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 21:57:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:02:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:07:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:12:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:17:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:22:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:27:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:32:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:37:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:42:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:47:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:52:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 22:57:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:02:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:07:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:12:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:17:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:22:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:27:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:32:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:37:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:42:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:47:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:52:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-21 23:57:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-22 00:02:30","-18.9"
"Temperature for Smartbrick 148097","2022-03-22 00:07:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-22 00:12:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-22 00:17:29","-18.9"
"Temperature for Smartbrick 148097","2022-03-22 00:22:29","-18.7"
"Temperature for Smartbrick 148097","2022-03-22 00:27:29","-18.3"
"Temperature for Smartbrick 148097","2022-03-22 00:32:29","-17.9"
"Temperature for Smartbrick 148097","2022-03-22 00:37:29","-17.3"
"Temperature for Smartbrick 148097","2022-03-22 00:42:29","-16.7"
"Temperature for Smartbrick 148097","2022-03-22 00:47:30","-16.1"
"Temperature for Smartbrick 148097","2022-03-22 00:52:30","-15.4"
"Temperature for Smartbrick 148097","2022-03-22 00:57:29","-14.7"
"Temperature for Smartbrick 148097","2022-03-22 01:02:29","-13.9"
"Temperature for Smartbrick 148097","2022-03-22 01:07:29","-13.2"
"Temperature for Smartbrick 148097","2022-03-22 01:12:29","-12.4"
"Temperature for Smartbrick 148097","2022-03-22 01:17:29","-11.6"
"Temperature for Smartbrick 148097","2022-03-22 01:22:30","-11"
"Temperature for Smartbrick 148097","2022-03-22 01:27:29","-10.6"
"Temperature for Smartbrick 148097","2022-03-22 01:32:30","-10.2"
"Temperature for Smartbrick 148097","2022-03-22 01:37:29","-10"
"Temperature for Smartbrick 148097","2022-03-22 01:42:31","-9.8"
"Temperature for Smartbrick 148097","2022-03-22 01:47:29","-9.6"
"Temperature for Smartbrick 148097","2022-03-22 01:52:29","-9.5"
"Temperature for Smartbrick 148097","2022-03-22 01:57:29","-9.4"
"Temperature for Smartbrick 148097","2022-03-22 02:02:29","-9.3"
"Temperature for Smartbrick 148097","2022-03-22 02:07:29","-9.3"
"Temperature for Smartbrick 148097","2022-03-22 02:12:30","-9.2"
"Temperature for Smartbrick 148097","2022-03-22 02:17:29","-9.2"
"Temperature for Smartbrick 148097","2022-03-22 02:22:30","-9.2"
"Temperature for Smartbrick 148097","2022-03-22 02:27:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:32:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:37:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:42:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:47:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:52:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 02:57:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:02:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:07:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:12:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:17:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:22:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:27:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:32:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:37:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:42:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:47:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:52:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 03:57:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:02:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:07:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:12:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:17:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:22:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:27:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:32:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:37:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:42:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:47:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:52:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 04:57:31","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:02:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:07:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:12:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:17:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:22:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:27:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:32:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:37:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:42:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:47:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:52:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 05:57:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:02:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:07:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:12:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:17:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:22:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:27:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:32:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:37:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:42:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:47:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:52:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 06:57:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 07:02:30","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 07:07:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 07:12:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 07:17:29","-9.1"
"Temperature for Smartbrick 148097","2022-03-22 07:22:29","-8.9"
"Temperature for Smartbrick 148097","2022-03-22 07:27:29","-8.5"
"Temperature for Smartbrick 148097","2022-03-22 07:32:31","-8.1"
"Temperature for Smartbrick 148097","2022-03-22 07:37:29","-7.5"
"Temperature for Smartbrick 148097","2022-03-22 07:42:29","-6.9"
"Temperature for Smartbrick 148097","2022-03-22 07:47:29","-6.2"
"Temperature for Smartbrick 148097","2022-03-22 07:52:29","-5.5"
"Temperature for Smartbrick 148097","2022-03-22 07:57:29","-4.8"
"Temperature for Smartbrick 148097","2022-03-22 08:02:29","-4.1"
"Temperature for Smartbrick 148097","2022-03-22 08:07:29","-3.3"
"Temperature for Smartbrick 148097","2022-03-22 08:12:29","-2.5"
"Temperature for Smartbrick 148097","2022-03-22 08:17:29","-1.8"
"Temperature for Smartbrick 148097","2022-03-22 08:22:29","-1.2"
"Temperature for Smartbrick 148097","2022-03-22 08:27:29","-0.7"
"Temperature for Smartbrick 148097","2022-03-22 08:32:29","-0.3"
"Temperature for Smartbrick 148097","2022-03-22 08:37:29","0"
"Temperature for Smartbrick 148097","2022-03-22 08:42:29","0"
"Temperature for Smartbrick 148097","2022-03-22 08:47:29","0.2"
"Temperature for Smartbrick 148097","2022-03-22 08:52:29","0.4"
"Temperature for Smartbrick 148097","2022-03-22 08:57:29","0.4"
"Temperature for Smartbrick 148097","2022-03-22 09:02:30","0.6"
"Temperature for Smartbrick 148097","2022-03-22 09:07:29","0.6"
"Temperature for Smartbrick 148097","2022-03-22 09:12:29","0.6"
"Temperature for Smartbrick 148097","2022-03-22 09:17:29","0.7"
"Temperature for Smartbrick 148097","2022-03-22 09:22:29","0.7"
"Temperature for Smartbrick 148097","2022-03-22 09:27:29","0.7"
"Temperature for Smartbrick 148097","2022-03-22 09:32:29","0.7"
"Temperature for Smartbrick 148097","2022-03-22 09:37:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 09:42:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 09:47:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 09:52:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 09:57:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 10:02:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 10:07:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 10:12:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 10:17:29","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:22:30","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:27:29","0.8"
"Temperature for Smartbrick 148097","2022-03-22 10:32:29","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:37:29","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:42:31","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:47:29","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:52:29","0.9"
"Temperature for Smartbrick 148097","2022-03-22 10:57:29","0.9"
