"Series","Date","Value"
"Y for Smartbrick 148098","2022-03-21 12:43:16","-97.12524414"
"Y for Smartbrick 148098","2022-03-21 14:22:13","11.68212891"
"Y for Smartbrick 148098","2022-03-21 14:27:15","87.46948242"
"Y for Smartbrick 148098","2022-03-21 14:32:15","-97.25341797"
"Y for Smartbrick 148098","2022-03-21 14:37:16","87.24365234"
"Y for Smartbrick 148098","2022-03-21 14:42:15","-4.52880859"
"Y for Smartbrick 148098","2022-03-21 14:47:15","87.67700195"
"Y for Smartbrick 148098","2022-03-21 14:52:15","2.00805664"
"Y for Smartbrick 148098","2022-03-21 14:57:15","3.57666016"
"Y for Smartbrick 148098","2022-03-21 15:02:15","2.24609375"
"Y for Smartbrick 148098","2022-03-21 15:07:15","3.13110352"
"Y for Smartbrick 148098","2022-03-21 15:12:15","3.25317383"
"Y for Smartbrick 148098","2022-03-21 15:17:15","3.4362793"
"Y for Smartbrick 148098","2022-03-21 15:22:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 15:27:15","3.47900391"
"Y for Smartbrick 148098","2022-03-21 15:32:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 15:37:15","3.48510742"
"Y for Smartbrick 148098","2022-03-21 15:42:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 15:47:15","3.47900391"
"Y for Smartbrick 148098","2022-03-21 15:52:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 15:57:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:02:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:07:15","3.48510742"
"Y for Smartbrick 148098","2022-03-21 16:12:15","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:17:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 16:22:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 16:27:14","3.48510742"
"Y for Smartbrick 148098","2022-03-21 16:32:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:37:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:42:14","3.47900391"
"Y for Smartbrick 148098","2022-03-21 16:47:14","3.47290039"
"Y for Smartbrick 148098","2022-03-21 16:52:14","3.47290039"
"Y for Smartbrick 148098","2022-03-21 16:57:14","3.47290039"
"Y for Smartbrick 148098","2022-03-21 17:02:15","3.47290039"
"Y for Smartbrick 148098","2022-03-21 17:07:15","3.47290039"
"Y for Smartbrick 148098","2022-03-21 17:12:14","3.47290039"
"Y for Smartbrick 148098","2022-03-21 17:17:14","3.515625"
"Y for Smartbrick 148098","2022-03-21 17:22:14","3.57666016"
"Y for Smartbrick 148098","2022-03-21 17:27:14","3.60107422"
"Y for Smartbrick 148098","2022-03-21 17:32:15","3.68652344"
"Y for Smartbrick 148098","2022-03-21 17:37:14","3.73535156"
"Y for Smartbrick 148098","2022-03-21 17:42:14","3.74755859"
"Y for Smartbrick 148098","2022-03-21 17:47:14","3.80249023"
"Y for Smartbrick 148098","2022-03-21 17:52:14","3.8269043"
"Y for Smartbrick 148098","2022-03-21 17:57:14","3.82080078"
"Y for Smartbrick 148098","2022-03-21 18:02:14","3.81469727"
"Y for Smartbrick 148098","2022-03-21 18:07:14","3.80859375"
"Y for Smartbrick 148098","2022-03-21 18:12:14","3.81469727"
"Y for Smartbrick 148098","2022-03-21 18:17:14","3.80249023"
"Y for Smartbrick 148098","2022-03-21 18:22:14","3.80859375"
"Y for Smartbrick 148098","2022-03-21 18:27:14","3.80249023"
"Y for Smartbrick 148098","2022-03-21 18:32:14","3.79638672"
"Y for Smartbrick 148098","2022-03-21 18:37:14","3.79638672"
"Y for Smartbrick 148098","2022-03-21 18:42:14","3.79638672"
"Y for Smartbrick 148098","2022-03-21 18:47:14","3.7902832"
"Y for Smartbrick 148098","2022-03-21 18:52:14","3.79638672"
"Y for Smartbrick 148098","2022-03-21 18:57:14","3.7902832"
"Y for Smartbrick 148098","2022-03-21 19:02:14","3.7902832"
"Y for Smartbrick 148098","2022-03-21 19:07:14","3.7902832"
"Y for Smartbrick 148098","2022-03-21 19:12:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:17:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:22:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:27:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:32:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:37:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:42:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:47:14","3.77807617"
"Y for Smartbrick 148098","2022-03-21 19:52:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 19:57:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:02:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:07:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:12:14","3.77807617"
"Y for Smartbrick 148098","2022-03-21 20:17:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:22:14","3.76586914"
"Y for Smartbrick 148098","2022-03-21 20:27:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:32:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:37:14","3.77807617"
"Y for Smartbrick 148098","2022-03-21 20:42:14","3.78417969"
"Y for Smartbrick 148098","2022-03-21 20:47:15","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:52:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 20:57:14","3.77197266"
"Y for Smartbrick 148098","2022-03-21 21:02:14","3.77197266"
