"Series","Date","Value"
"Y for Smartbrick 148105","2022-03-21 11:31:37","93.45092773"
"Y for Smartbrick 148105","2022-03-21 14:22:00","11.51123047"
"Y for Smartbrick 148105","2022-03-21 14:27:01","92.70629883"
"Y for Smartbrick 148105","2022-03-21 14:32:01","92.44384766"
"Y for Smartbrick 148105","2022-03-21 14:37:01","92.13867188"
"Y for Smartbrick 148105","2022-03-21 14:42:01","91.67480469"
"Y for Smartbrick 148105","2022-03-21 14:47:01","91.08886719"
"Y for Smartbrick 148105","2022-03-21 14:52:01","90.61889648"
"Y for Smartbrick 148105","2022-03-21 14:57:01","90.0390625"
"Y for Smartbrick 148105","2022-03-21 15:02:02","89.48364258"
"Y for Smartbrick 148105","2022-03-21 15:07:01","1.03149414"
"Y for Smartbrick 148105","2022-03-21 15:12:01","1.53198242"
"Y for Smartbrick 148105","2022-03-21 15:17:01","1.62353516"
"Y for Smartbrick 148105","2022-03-21 15:22:02","1.68457031"
"Y for Smartbrick 148105","2022-03-21 15:27:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 15:32:01","1.68457031"
"Y for Smartbrick 148105","2022-03-21 15:37:01","1.68457031"
"Y for Smartbrick 148105","2022-03-21 15:42:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 15:47:02","1.6784668"
"Y for Smartbrick 148105","2022-03-21 15:52:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 15:57:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 16:02:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:07:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:12:01","1.68457031"
"Y for Smartbrick 148105","2022-03-21 16:17:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:22:01","1.68457031"
"Y for Smartbrick 148105","2022-03-21 16:27:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:32:01","1.68457031"
"Y for Smartbrick 148105","2022-03-21 16:37:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 16:42:02","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:47:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 16:52:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 16:57:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 17:02:01","1.6784668"
"Y for Smartbrick 148105","2022-03-21 17:07:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 17:12:01","1.67236328"
"Y for Smartbrick 148105","2022-03-21 17:17:01","1.74560547"
"Y for Smartbrick 148105","2022-03-21 17:22:01","1.82495117"
"Y for Smartbrick 148105","2022-03-21 17:27:01","1.86157227"
"Y for Smartbrick 148105","2022-03-21 17:32:03","1.88598633"
"Y for Smartbrick 148105","2022-03-21 17:37:01","1.89208984"
"Y for Smartbrick 148105","2022-03-21 17:42:01","1.89819336"
"Y for Smartbrick 148105","2022-03-21 17:47:03","1.90429688"
"Y for Smartbrick 148105","2022-03-21 17:52:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 17:57:01","1.93481445"
"Y for Smartbrick 148105","2022-03-21 18:02:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 18:07:01","1.90429688"
"Y for Smartbrick 148105","2022-03-21 18:12:01","1.90429688"
"Y for Smartbrick 148105","2022-03-21 18:17:01","1.89208984"
"Y for Smartbrick 148105","2022-03-21 18:22:03","1.90429688"
"Y for Smartbrick 148105","2022-03-21 18:27:01","1.89819336"
"Y for Smartbrick 148105","2022-03-21 18:32:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 18:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 18:42:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 18:47:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 18:52:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 18:57:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 19:02:02","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:07:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:12:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:17:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:22:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:27:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:32:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 19:37:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 19:42:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 19:47:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 19:52:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 19:57:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 20:02:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 20:07:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 20:12:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 20:17:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:22:01","1.92871094"
"Y for Smartbrick 148105","2022-03-21 20:27:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:32:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:37:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:42:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:47:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:52:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 20:57:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 21:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:07:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 21:12:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:17:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 21:22:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 21:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:32:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:37:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:42:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:47:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:52:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 21:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 22:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:07:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 22:17:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:22:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:32:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:37:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 22:42:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 22:47:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 22:52:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 22:57:01","1.92260742"
"Y for Smartbrick 148105","2022-03-21 23:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 23:07:01","1.90429688"
"Y for Smartbrick 148105","2022-03-21 23:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 23:17:01","1.90429688"
"Y for Smartbrick 148105","2022-03-21 23:22:03","1.91650391"
"Y for Smartbrick 148105","2022-03-21 23:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 23:32:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 23:37:02","1.90429688"
"Y for Smartbrick 148105","2022-03-21 23:42:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 23:47:01","1.91650391"
"Y for Smartbrick 148105","2022-03-21 23:52:01","1.91040039"
"Y for Smartbrick 148105","2022-03-21 23:57:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:07:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 00:12:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:17:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:22:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 00:27:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 00:32:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:37:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 00:42:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 00:47:01","1.92871094"
"Y for Smartbrick 148105","2022-03-22 00:52:02","1.92871094"
"Y for Smartbrick 148105","2022-03-22 00:57:01","1.93481445"
"Y for Smartbrick 148105","2022-03-22 01:02:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 01:07:01","1.92871094"
"Y for Smartbrick 148105","2022-03-22 01:12:01","1.92871094"
"Y for Smartbrick 148105","2022-03-22 01:17:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 01:22:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 01:27:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 01:32:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 01:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 01:42:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 01:47:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 01:52:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 01:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 02:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 02:07:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 02:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 02:17:02","1.91650391"
"Y for Smartbrick 148105","2022-03-22 02:22:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 02:27:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 02:32:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 02:37:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 02:42:02","1.91650391"
"Y for Smartbrick 148105","2022-03-22 02:47:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 02:52:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 02:57:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 03:02:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:07:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:17:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:22:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 03:27:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 03:32:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:42:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 03:47:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 03:52:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 03:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:02:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:07:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:17:02","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:22:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 04:32:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 04:37:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 04:42:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:47:03","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:52:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 04:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 05:02:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 05:07:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 05:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 05:17:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 05:22:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 05:27:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 05:32:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 05:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 05:42:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 05:47:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 05:52:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 05:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 06:02:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 06:07:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 06:12:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 06:17:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 06:22:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 06:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 06:32:02","1.90429688"
"Y for Smartbrick 148105","2022-03-22 06:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 06:42:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 06:47:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 06:52:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 06:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 07:02:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 07:07:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 07:12:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 07:17:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 07:22:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 07:27:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 07:32:01","1.90429688"
"Y for Smartbrick 148105","2022-03-22 07:37:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 07:42:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 07:47:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 07:52:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 07:57:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 08:02:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 08:07:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 08:12:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 08:17:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 08:22:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 08:27:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 08:32:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 08:37:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 08:42:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 08:47:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 08:52:01","1.92260742"
"Y for Smartbrick 148105","2022-03-22 08:57:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 09:02:02","1.90429688"
"Y for Smartbrick 148105","2022-03-22 09:07:01","1.91650391"
"Y for Smartbrick 148105","2022-03-22 09:12:01","1.89819336"
"Y for Smartbrick 148105","2022-03-22 09:17:01","1.91040039"
"Y for Smartbrick 148105","2022-03-22 09:22:00","1.90429688"
"Y for Smartbrick 148105","2022-03-22 09:27:00","1.90429688"
"Y for Smartbrick 148105","2022-03-22 09:32:01","1.87988281"
"Y for Smartbrick 148105","2022-03-22 09:37:01","1.88598633"
"Y for Smartbrick 148105","2022-03-22 09:42:00","1.89208984"
"Y for Smartbrick 148105","2022-03-22 09:47:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 09:52:00","1.89208984"
"Y for Smartbrick 148105","2022-03-22 09:57:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 10:02:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 10:07:02","1.88598633"
"Y for Smartbrick 148105","2022-03-22 10:12:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 10:17:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 10:22:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 10:27:02","1.87988281"
"Y for Smartbrick 148105","2022-03-22 10:32:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 10:37:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 10:42:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 10:47:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 10:52:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 10:57:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 11:02:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 11:07:01","1.89208984"
"Y for Smartbrick 148105","2022-03-22 11:12:01","1.87988281"
"Y for Smartbrick 148105","2022-03-22 11:17:01","1.8737793"
"Y for Smartbrick 148105","2022-03-22 11:22:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 11:27:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 11:32:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 11:37:01","1.86767578"
"Y for Smartbrick 148105","2022-03-22 11:42:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 11:47:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 11:52:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 11:57:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 12:02:01","1.85546875"
"Y for Smartbrick 148105","2022-03-22 12:07:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 12:12:01","1.8737793"
"Y for Smartbrick 148105","2022-03-22 12:17:00","1.88598633"
"Y for Smartbrick 148105","2022-03-22 12:22:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 12:27:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 12:32:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 12:37:01","1.8737793"
"Y for Smartbrick 148105","2022-03-22 12:42:02","1.8737793"
"Y for Smartbrick 148105","2022-03-22 12:47:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 12:52:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 12:57:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 13:02:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 13:07:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 13:12:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 13:17:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 13:22:00","1.87988281"
"Y for Smartbrick 148105","2022-03-22 13:27:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:32:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:37:01","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:42:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:47:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:52:03","1.86767578"
"Y for Smartbrick 148105","2022-03-22 13:57:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 14:02:00","1.86157227"
"Y for Smartbrick 148105","2022-03-22 14:07:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 14:12:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 14:17:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 14:22:02","1.8737793"
"Y for Smartbrick 148105","2022-03-22 14:27:00","1.8737793"
"Y for Smartbrick 148105","2022-03-22 14:32:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 14:37:00","1.86767578"
"Y for Smartbrick 148105","2022-03-22 14:42:00","1.8737793"
